"Label","Ville","Tel","Code Postal","Adresse","Longitude","Latitude","Type","codgeo","Code Région","nbAgents"
"Brigade territoriale autonome de Nangis","NANGIS","+33 1 64 08 00 33",77370,"1 Rue Marcel Paul 77370 NANGIS",3.007385,48.55335,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-Soupplets","ST SOUPPLETS","+33 1 60 01 50 07",77165,"14 Rue du Point-du-Jour 77165 ST SOUPPLETS",2.809511,49.04249,"Gendarmerie",,,
"Brigade territoriale autonome de Lizy-sur-Ourcq","LIZY SUR OURCQ","+33 1 60 01 70 10",77440,"Avenue du GÃ©nÃ©ral de Gaulle 77440 LIZY SUR OURCQ",3.017872,49.029953,"Gendarmerie",,,
"Brigade territoriale autonome d'Esbly","ESBLY","+33 1 60 04 20 43",77450,"1 Rue Jean Le Beau 77450 ESBLY",2.809808,48.897993,"Gendarmerie",,,
"Brigade territoriale autonome de Dammartin-en-GoÃ«le","DAMMARTIN EN GOELE","+33 1 60 03 00 19",77230,"64 Avenue de l'Europe 77230 DAMMARTIN EN GOELE",2.68134,49.062027,"Gendarmerie",,,
"Brigade territoriale autonome de Chelles","CHELLES","+33 1 60 20 73 15",77500,"17 Avenue du gendarme Castermant 77500 CHELLES",2.609437,48.878379,"Gendarmerie",,,
"Brigade territoriale autonome de Meaux","MEAUX","+33 1 64 34 08 90",77100,"3 Rue de NoÃ«fort 77100 MEAUX",2.892232,48.957672,"Gendarmerie",,,
"Brigade territoriale autonome de Lorrez-le-Bocage-PrÃ©aux","LORREZ LE BOCAGE PREAUX","+33 1 64 31 63 80",77710,"1 Avenue du Bocage 77710 LORREZ LE BOCAGE PREAUX",2.893026,48.239581,"Gendarmerie",,,
"Brigade territoriale autonome de la Chapelle-la-Reine","LA CHAPELLE LA REINE","+33 1 64 24 30 47",77760,"3 Rue Blanche de Castille 77760 LA CHAPELLE LA REINE",2.569132,48.319534,"Gendarmerie",,,
"Brigade territoriale autonome de Fontainebleau","FONTAINEBLEAU","+33 1 64 22 24 88",77300,"27 Rue des Bois 77300 FONTAINEBLEAU",2.700525,48.409576,"Gendarmerie",,,
"Brigade territoriale autonome de Rozay-en-Brie","ROZAY EN BRIE","+33 1 64 25 60 28",77540,"Rue des Etangs 77540 ROZAY EN BRIE",2.956666,48.686362,"Gendarmerie",,,
"Brigade territoriale autonome de Mortcerf","MORTCERF","+33 1 64 04 30 24",77163,"133 Rue du 27 AoÃ»t 1944 77163 MORTCERF",2.917015,48.787201,"Gendarmerie",,,
"Brigade territoriale autonome de la FertÃ©-sous-Jouarre","LA FERTE SOUS JOUARRE","+33 1 60 22 01 19",77260,"6 Avenue de Montmirail 77260 LA FERTE SOUS JOUARRE",3.128718,48.942319,"Gendarmerie",,,
"Brigade territoriale autonome de CrÃ©cy-la-Chapelle","CRECY LA CHAPELLE","+33 1 64 63 80 42",77580,"37 Rue des Bouleurs 77580 CRECY LA CHAPELLE",2.904287,48.862908,"Gendarmerie",,,
"Brigade territoriale autonome de Coulommiers","COULOMMIERS","+33 1 64 03 00 20",77120,"27 Avenue de la RÃ©publique 77120 COULOMMIERS",3.088436,48.815617,"Gendarmerie",,,
"Brigade territoriale autonome de Tournan-en-Brie","TOURNAN EN BRIE","+33 1 64 25 42 11",77220,"10 Rue des FrÃ¨res Vinot 77220 TOURNAN EN BRIE",2.760592,48.741498,"Gendarmerie",,,
"Brigade territoriale autonome de Mormant","MORMANT","+33 1 64 06 90 16",77720,"133 Rue Charles de Gaulle 77720 MORMANT",2.886908,48.611551,"Gendarmerie",,,
"Brigade territoriale autonome de Chaumes-en-Brie","CHAUMES EN BRIE","+33 1 64 06 03 16",77390,"1 Rue de Foix 77390 CHAUMES EN BRIE",2.842868,48.663707,"Gendarmerie",,,
"Brigade territoriale autonome du ChÃ¢telet-en-Brie","LE CHATELET EN BRIE","+33 1 60 69 40 16",77820,"1 Rue du 26 AoÃ»t 1944 77820 LE CHATELET EN BRIE",2.789932,48.506603,"Gendarmerie",,,
"Brigade territoriale autonome de Coubert","COUBERT","+33 1 64 06 66 78",77170,"1 ter Rue Etienne TÃ©trot 77170 COUBERT",2.692864,48.673219,"Gendarmerie",,,
"Brigade territoriale autonome de Melun","MELUN","+33 1 64 71 71 63",77000,"3 Rue AndrÃ© Malraux 77000 MELUN",2.6664,48.550904,"Gendarmerie",,,
"Brigade territoriale autonome de Louvres","LOUVRES","+33 1 30 29 39 70",95380,"2 Route de la Grange aux DÃ®mes 95380 LOUVRES",2.512477,49.04622,"Gendarmerie",,,
"Brigade territoriale autonome d'Ãcouen","ECOUEN","+33 1 34 29 47 80",95440,"79 Rue du MarÃ©chal Leclerc 95440 ECOUEN",2.385021,49.022696,"Gendarmerie",,,
"Brigade territoriale autonome de Domont","DOMONT","+33 1 39 35 58 50",95330,"191 Avenue Jean Rostand 95330 DOMONT",2.341166,49.036096,"Gendarmerie",,,
"Brigade territoriale autonome de Montmorency","MONTMORENCY","+33 1 39 64 14 32",95160,"2 Rue des Gallerands 95160 MONTMORENCY",2.327123,48.990508,"Gendarmerie",,,
"Brigade territoriale autonome de Vigny","VIGNY","+33 1 34 67 89 89",95450,"50 Rue Baudouin 95450 VIGNY",1.921827,49.078609,"Gendarmerie",,,
"Brigade territoriale autonome d'Auvers-sur-Oise","AUVERS SUR OISE","+33 1 30 36 70 17",95430,"31 Rue FranÃ§ois Mitterrand 95430 AUVERS SUR OISE",2.162356,49.075266,"Gendarmerie",,,
"Brigade territoriale autonome de Marines","MARINES","+33 1 30 39 70 27",95640,"4 Place du Docteur Cesbron 95640 MARINES",1.977488,49.145761,"Gendarmerie",,,
"Brigade territoriale autonome de Magny-en-Vexin","MAGNY EN VEXIN","+33 1 34 46 88 88",95420,"26 Rue de Crosne 95420 MAGNY EN VEXIN",1.787845,49.150564,"Gendarmerie",,,
"Brigade territoriale autonome de Pontoise","PONTOISE","+33 1 30 75 56 02",95000,"Caserne Lange 5 Boulevard de l'Hautil 95000 PONTOISE",2.086802,49.037956,"Gendarmerie",,,
"Brigade territoriale autonome d'Orsay","ORSAY","+33 1 60 19 32 32",91400,"Rue Nicolas Appert 91400 ORSAY",2.173911,48.71401,"Gendarmerie",,,
"Brigade territoriale autonome de Longjumeau","LONGJUMEAU","+33 1 69 79 50 50",91160,"13 Avenue du MarÃ©chal Leclerc 91160 LONGJUMEAU",2.292307,48.6984,"Gendarmerie",,,
"Brigade territoriale autonome de Limours","LIMOURS","+33 1 64 91 00 30",91470,"52 Rue de Marcoussis 91470 LIMOURS",2.091348,48.644561,"Gendarmerie",,,
"Brigade territoriale autonome de Marolles-en-Hurepoix","MAROLLES EN HUREPOIX","+33 1 64 56 18 03",91630,"Rue du Potager 91630 MAROLLES EN HUREPOIX",2.310408,48.563379,"Gendarmerie",,,
"Brigade territoriale autonome d'Ãgly","EGLY","+33 1 64 90 00 64",91520,"9 AllÃ©e des Joncs 91520 EGLY",2.223609,48.582914,"Gendarmerie",,,
"Brigade territoriale autonome de Palaiseau","PALAISEAU","+33 1 60 14 00 34",91120,"2 Rue Gutenberg 91120 PALAISEAU",2.246687,48.710993,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-ChÃ©ron","ST CHERON","+33 1 64 56 60 34",91530,"6 Impasse Vauvilliers 91530 ST CHERON",2.123328,48.551487,"Gendarmerie",,,
