"Tableau 16. Faits constatés par la police et la gendarmerie, par département de France métropolitaine, en 2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Index de l'Etat 4001","Ain","Aisne","Allier","Alpes-de-Haute-Provence","Hautes-Alpes","Alpes-Maritimes","Ardèche","Ardennes","Ariège","Aube","Aude","Aveyron","Bouches-du-Rhône","Calvados","Cantal","Charente","Charente-Maritime","Cher","Corrèze","Côte-d'Or","Côtes-d'Armor","Creuse","Dordogne","Doubs","Drôme","Eure","Eure-et-Loir","Finistère","Corse-du-Sud","Haute-Corse","Gard","Haute-Garonne","Gers","Gironde","Hérault","Ille-et-Vilaine","Indre","Indre-et-Loire","Isère","Jura","Landes","Loir-et-Cher","Loire","Haute-Loire","Loire-Atlantique","Loiret","Lot","Lot-et-Garonne","Lozère","Maine-et-Loire","Manche","Marne","Haute-Marne","Mayenne","Meurthe-et-Moselle","Meuse","Morbihan","Moselle","Nièvre","Nord","Oise","Orne","Pas-de-Calais","Puy-de-Dôme","Pyrénées-Atlantiques","Hautes-Pyrénées","Pyrénées-Orientales","Bas-Rhin","Haut-Rhin","Rhône","Haute-Saône","Saône-et-Loire","Sarthe","Savoie","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Deux-Sèvres","Somme","Tarn","Tarn-et-Garonne","Var","Vaucluse","Vendée","Vienne","Haute-Vienne","Vosges","Yonne","Territoire de Belfort","Essonne","Hauts-de-Seine","Seine-Saint-Denis","Val-de-Marne","Val-d'Oise"
"Cambriolages d'autres lieux","288.0","538.0","186.0","136.0","92.0","1310.0","172.0","280.0","76.0","283.0","349.0","135.0","2495.0","536.0","42.0","300.0","725.0","319.0","107.0","478.0","362.0","49.0","329.0","473.0","491.0","496.0","357.0","683.0","71.0","94.0","669.0","1054.0","121.0","1094.0","1111.0","683.0","240.0","676.0","1506.0","181.0","224.0","265.0","622.0","135.0","1374.0","486.0","93.0","264.0","37.0","737.0","207.0","516.0","244.0","210.0","776.0","141.0","509.0","861.0","183.0","3257.0","727.0","292.0","1423.0","573.0","480.0","164.0","320.0","1184.0","540.0","2143.0","167.0","393.0","430.0","318.0","674.0","1270.0","1188.0","865.0","848.0","324.0","645.0","282.0","224.0","808.0","502.0","437.0","268.0","253.0","383.0","346.0","143.0","745.0","718.0","1025.0","974.0","801.0"
"Vols avec entrée par ruse en tous lieux","58.0","61.0","56.0","20.0","4.0","511.0","14.0","28.0","17.0","31.0","63.0","21.0","302.0","48.0","5.0","45.0","50.0","29.0","28.0","79.0","75.0","15.0","60.0","48.0","78.0","48.0","38.0","74.0","6.0","16.0","144.0","157.0","11.0","147.0","209.0","100.0","20.0","84.0","185.0","30.0","67.0","32.0","76.0","13.0","174.0","57.0","17.0","51.0","3.0","91.0","36.0","60.0","21.0","43.0","71.0","30.0","83.0","108.0","17.0","540.0","74.0","22.0","202.0","67.0","103.0","40.0","58.0","53.0","39.0","140.0","14.0","72.0","27.0","66.0","86.0","598.0","165.0","129.0","177.0","48.0","59.0","24.0","23.0","98.0","70.0","64.0","35.0","27.0","49.0","35.0","33.0","171.0","440.0","239.0","211.0","194.0"
"Vols à la tire","422.0","251.0","61.0","121.0","133.0","3995.0","118.0","91.0","99.0","190.0","392.0","80.0","6001.0","545.0","26.0","213.0","323.0","200.0","73.0","502.0","202.0","21.0","246.0","413.0","308.0","295.0","255.0","458.0","66.0","96.0","740.0","2613.0","59.0","2216.0","2121.0","583.0","107.0","437.0","1402.0","109.0","280.0","215.0","514.0","115.0","2466.0","573.0","29.0","300.0","14.0","339.0","134.0","438.0","59.0","92.0","538.0","36.0","333.0","824.0","76.0","4120.0","723.0","72.0","662.0","511.0","856.0","171.0","519.0","1148.0","317.0","3175.0","63.0","221.0","487.0","270.0","640.0","15561.0","955.0","2223.0","1494.0","152.0","212.0","179.0","168.0","1810.0","429.0","318.0","386.0","417.0","46.0","263.0","61.0","1810.0","2832.0","4455.0","3106.0","4068.0"
"Vols à l'étalage","413.0","501.0","337.0","123.0","128.0","1190.0","268.0","231.0","87.0","533.0","331.0","187.0","1738.0","1076.0","79.0","250.0","485.0","321.0","188.0","656.0","491.0","70.0","424.0","698.0","418.0","433.0","362.0","903.0","35.0","40.0","515.0","1088.0","123.0","2188.0","869.0","754.0","143.0","662.0","880.0","268.0","214.0","215.0","1063.0","154.0","1922.0","465.0","83.0","280.0","30.0","642.0","300.0","510.0","180.0","234.0","550.0","164.0","469.0","1035.0","190.0","2065.0","632.0","202.0","1202.0","534.0","632.0","270.0","370.0","881.0","780.0","2985.0","154.0","625.0","474.0","400.0","583.0","5043.0","1076.0","2474.0","2719.0","308.0","470.0","246.0","180.0","849.0","584.0","332.0","537.0","506.0","298.0","326.0","186.0","1432.0","1988.0","2313.0","2284.0","1403.0"
"Vols de véhicules de transport avec fret","4.0","1.0","2.0","1.0","0.0","4.0","0.0","1.0","0.0","1.0","0.0","0.0","26.0","4.0","0.0","0.0","2.0","2.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","5.0","9.0","3.0","3.0","2.0","3.0","3.0","1.0","1.0","1.0","0.0","4.0","2.0","0.0","1.0","0.0","1.0","1.0","0.0","3.0","0.0","7.0","0.0","0.0","0.0","0.0","16.0","4.0","1.0","4.0","0.0","0.0","2.0","3.0","15.0","1.0","11.0","0.0","3.0","1.0","2.0","0.0","12.0","8.0","14.0","4.0","0.0","0.0","0.0","0.0","1.0","14.0","0.0","0.0","1.0","1.0","14.0","0.0","9.0","2.0","15.0","6.0","11.0"
"Vols d'automobiles","705.0","986.0","242.0","263.0","104.0","1951.0","479.0","300.0","139.0","381.0","810.0","125.0","8668.0","679.0","56.0","385.0","1141.0","309.0","117.0","651.0","467.0","51.0","284.0","538.0","1416.0","1185.0","695.0","736.0","255.0","298.0","2528.0","2721.0","165.0","2678.0","3275.0","789.0","247.0","757.0","2990.0","255.0","288.0","669.0","1210.0","204.0","1976.0","1340.0","97.0","280.0","37.0","598.0","286.0","1161.0","229.0","146.0","1095.0","147.0","639.0","1092.0","214.0","5726.0","2915.0","233.0","1774.0","931.0","587.0","197.0","1289.0","838.0","635.0","3900.0","251.0","615.0","397.0","655.0","899.0","2721.0","2090.0","4083.0","3583.0","246.0","1042.0","325.0","297.0","1925.0","1942.0","574.0","362.0","263.0","288.0","788.0","182.0","4104.0","2333.0","5728.0","3451.0","5533.0"
"Vols de véhicules motorisés à 2 roues","255.0","307.0","217.0","113.0","69.0","5407.0","188.0","228.0","54.0","237.0","313.0","148.0","5219.0","433.0","26.0","251.0","766.0","224.0","145.0","533.0","416.0","36.0","254.0","350.0","644.0","337.0","281.0","661.0","275.0","225.0","656.0","1171.0","83.0","1637.0","1790.0","618.0","163.0","558.0","977.0","104.0","254.0","256.0","456.0","92.0","1626.0","518.0","86.0","219.0","10.0","581.0","173.0","586.0","108.0","130.0","426.0","79.0","468.0","553.0","142.0","2143.0","617.0","195.0","1004.0","452.0","741.0","149.0","501.0","820.0","482.0","1596.0","170.0","432.0","531.0","325.0","762.0","6546.0","1162.0","1097.0","1481.0","214.0","715.0","277.0","196.0","2482.0","591.0","458.0","318.0","224.0","178.0","268.0","97.0","1203.0","2972.0","2050.0","2429.0","1161.0"
"Vols à la roulotte","1347.0","1016.0","486.0","523.0","335.0","6277.0","941.0","390.0","371.0","574.0","2106.0","367.0","16133.0","1533.0","103.0","848.0","2416.0","571.0","392.0","1343.0","1098.0","58.0","709.0","1220.0","2540.0","1364.0","1094.0","2007.0","414.0","550.0","5062.0","9188.0","332.0","6537.0","9705.0","2991.0","428.0","1707.0","5687.0","492.0","1161.0","901.0","1895.0","326.0","5628.0","2593.0","245.0","811.0","136.0","1931.0","551.0","1896.0","457.0","375.0","2135.0","268.0","1503.0","2588.0","343.0","15369.0","3263.0","391.0","3654.0","1945.0","2428.0","707.0","2282.0","2273.0","2019.0","7251.0","401.0","1102.0","1130.0","1105.0","2081.0","10384.0","4702.0","5616.0","5446.0","724.0","1050.0","825.0","626.0","4691.0","3078.0","1531.0","836.0","1332.0","791.0","660.0","313.0","4787.0","6985.0","13428.0","7654.0","6775.0"
"Vols d'accessoires sur véhicules à moteur immatriculés","633.0","866.0","353.0","212.0","170.0","2491.0","326.0","303.0","147.0","310.0","716.0","191.0","7737.0","1195.0","73.0","446.0","1270.0","524.0","222.0","654.0","547.0","62.0","371.0","608.0","1029.0","859.0","645.0","935.0","218.0","185.0","2483.0","3163.0","155.0","3348.0","2589.0","1159.0","319.0","1064.0","3269.0","315.0","505.0","491.0","1531.0","192.0","4057.0","1256.0","186.0","331.0","78.0","906.0","340.0","979.0","346.0","308.0","1481.0","216.0","913.0","1410.0","260.0","4998.0","2039.0","318.0","1971.0","867.0","728.0","318.0","1290.0","1266.0","1016.0","4305.0","217.0","619.0","708.0","548.0","826.0","2074.0","2946.0","3694.0","4040.0","433.0","805.0","468.0","358.0","1617.0","998.0","762.0","607.0","663.0","345.0","457.0","148.0","3321.0","2732.0","4211.0","4233.0","3914.0"
"Vols simples sur chantier","158.0","152.0","94.0","55.0","38.0","313.0","90.0","85.0","47.0","94.0","114.0","51.0","686.0","247.0","17.0","101.0","231.0","87.0","61.0","149.0","169.0","30.0","159.0","150.0","240.0","182.0","133.0","240.0","31.0","43.0","294.0","491.0","49.0","541.0","521.0","391.0","62.0","196.0","302.0","64.0","190.0","109.0","171.0","55.0","596.0","155.0","36.0","66.0","20.0","198.0","106.0","272.0","80.0","33.0","255.0","79.0","240.0","330.0","53.0","966.0","297.0","77.0","516.0","211.0","150.0","64.0","240.0","302.0","145.0","465.0","64.0","111.0","105.0","119.0","173.0","215.0","343.0","486.0","309.0","70.0","133.0","76.0","66.0","309.0","180.0","209.0","118.0","86.0","122.0","87.0","58.0","297.0","204.0","294.0","261.0","331.0"
"Vols simples sur exploitation agricole","62.0","172.0","81.0","42.0","33.0","11.0","52.0","110.0","35.0","188.0","103.0","39.0","109.0","90.0","51.0","141.0","205.0","162.0","66.0","80.0","92.0","53.0","109.0","32.0","126.0","102.0","106.0","83.0","13.0","21.0","202.0","127.0","87.0","253.0","165.0","76.0","122.0","90.0","90.0","72.0","142.0","139.0","80.0","55.0","152.0","176.0","34.0","64.0","28.0","142.0","100.0","225.0","70.0","29.0","100.0","69.0","110.0","118.0","62.0","75.0","123.0","101.0","139.0","176.0","66.0","53.0","136.0","132.0","142.0","42.0","74.0","53.0","69.0","22.0","17.0","2.0","116.0","85.0","25.0","121.0","183.0","44.0","108.0","49.0","122.0","119.0","73.0","102.0","78.0","146.0","4.0","29.0","1.0","1.0","1.0","25.0"
"Autres vols simples contre des établissements publics ou privés","650.0","693.0","246.0","210.0","156.0","1725.0","273.0","298.0","165.0","415.0","433.0","171.0","2756.0","898.0","98.0","424.0","991.0","412.0","325.0","841.0","670.0","76.0","405.0","568.0","521.0","714.0","479.0","883.0","106.0","116.0","1189.0","2553.0","217.0","2558.0","1380.0","1337.0","266.0","686.0","1345.0","230.0","444.0","472.0","893.0","160.0","1842.0","774.0","167.0","373.0","62.0","774.0","414.0","851.0","246.0","260.0","1028.0","270.0","757.0","1265.0","282.0","3596.0","971.0","224.0","1536.0","685.0","715.0","270.0","599.0","1223.0","896.0","2980.0","241.0","613.0","787.0","515.0","874.0","4058.0","1508.0","1876.0","1421.0","412.0","858.0","351.0","540.0","931.0","784.0","763.0","521.0","492.0","434.0","524.0","123.0","1103.0","1552.0","1598.0","1244.0","1229.0"
"Autres vols simples contre des particuliers dans  des locaux privés","1544.0","1759.0","909.0","549.0","450.0","4593.0","786.0","631.0","394.0","849.0","1319.0","685.0","7221.0","1915.0","156.0","1083.0","3021.0","930.0","585.0","1590.0","1885.0","164.0","1340.0","1564.0","1748.0","1926.0","1115.0","2404.0","286.0","327.0","3308.0","4496.0","417.0","6003.0","5669.0","3426.0","647.0","1417.0","3945.0","623.0","1452.0","959.0","1611.0","367.0","4326.0","2283.0","377.0","1011.0","125.0","2391.0","1095.0","2106.0","635.0","575.0","1678.0","440.0","2257.0","2594.0","599.0","10411.0","2336.0","639.0","4114.0","1597.0","1680.0","752.0","2357.0","2356.0","1853.0","4670.0","650.0","1275.0","1440.0","2410.0","2762.0","7408.0","3656.0","3358.0","4086.0","904.0","1854.0","959.0","837.0","3658.0","2914.0","1966.0","1425.0","606.0","1104.0","1044.0","420.0","2909.0","5242.0","4446.0","3519.0","2828.0"
"Autres vols simples contre des particuliers dans des locaux ou lieux publics","1734.0","1492.0","981.0","633.0","594.0","11619.0","793.0","725.0","507.0","1051.0","1628.0","453.0","13957.0","2684.0","285.0","1269.0","3639.0","794.0","624.0","1867.0","1903.0","113.0","1009.0","1988.0","2210.0","1722.0","1135.0","3736.0","705.0","921.0","3635.0","10249.0","460.0","9383.0","7359.0","4034.0","414.0","3390.0","6208.0","691.0","1844.0","948.0","2671.0","368.0","5810.0","2674.0","443.0","1040.0","210.0","2828.0","1176.0","2762.0","539.0","825.0","2734.0","401.0","2760.0","3195.0","537.0","10263.0","2826.0","690.0","5173.0","2110.0","2698.0","889.0","2506.0","4891.0","2912.0","12842.0","448.0","1690.0","1821.0","4135.0","3932.0","45176.0","4455.0","5486.0","7946.0","878.0","2439.0","890.0","969.0","7021.0","3045.0","2078.0","1455.0","1249.0","1010.0","976.0","623.0","6406.0","11658.0","10225.0","7682.0","6247.0"
"Recels","228.0","310.0","90.0","45.0","41.0","1256.0","70.0","154.0","42.0","220.0","164.0","63.0","1848.0","226.0","32.0","215.0","305.0","125.0","64.0","232.0","151.0","30.0","132.0","208.0","267.0","256.0","147.0","257.0","66.0","95.0","317.0","748.0","57.0","703.0","796.0","457.0","60.0","230.0","567.0","84.0","143.0","110.0","380.0","59.0","602.0","339.0","33.0","202.0","22.0","304.0","115.0","318.0","96.0","88.0","341.0","124.0","186.0","357.0","81.0","1629.0","471.0","123.0","710.0","322.0","252.0","55.0","297.0","554.0","332.0","1257.0","69.0","322.0","162.0","326.0","375.0","3746.0","650.0","692.0","683.0","129.0","314.0","98.0","81.0","595.0","346.0","176.0","191.0","165.0","134.0","243.0","84.0","746.0","833.0","2229.0","1084.0","728.0"
"Proxénétisme","1.0","0.0","1.0","1.0","0.0","16.0","0.0","2.0","0.0","0.0","4.0","1.0","27.0","4.0","0.0","0.0","2.0","1.0","0.0","3.0","0.0","0.0","5.0","6.0","7.0","3.0","6.0","3.0","0.0","2.0","9.0","24.0","0.0","15.0","9.0","4.0","0.0","1.0","9.0","0.0","0.0","1.0","2.0","1.0","3.0","4.0","0.0","0.0","0.0","2.0","6.0","3.0","0.0","0.0","1.0","0.0","2.0","2.0","0.0","22.0","3.0","1.0","1.0","6.0","2.0","0.0","1.0","9.0","4.0","105.0","0.0","6.0","0.0","1.0","2.0","81.0","3.0","3.0","0.0","2.0","1.0","1.0","0.0","6.0","4.0","0.0","3.0","3.0","0.0","2.0","0.0","4.0","6.0","9.0","2.0","4.0"
"Viols sur des majeur(e)s","37.0","38.0","18.0","5.0","5.0","104.0","16.0","17.0","10.0","27.0","23.0","9.0","185.0","38.0","5.0","23.0","42.0","18.0","16.0","19.0","34.0","3.0","16.0","34.0","38.0","49.0","20.0","69.0","5.0","11.0","41.0","100.0","11.0","124.0","95.0","76.0","17.0","28.0","95.0","20.0","20.0","30.0","43.0","5.0","112.0","69.0","11.0","21.0","6.0","51.0","38.0","32.0","20.0","25.0","56.0","13.0","36.0","59.0","10.0","240.0","66.0","30.0","117.0","37.0","45.0","13.0","31.0","65.0","34.0","150.0","12.0","25.0","41.0","40.0","39.0","396.0","91.0","89.0","98.0","23.0","74.0","20.0","24.0","71.0","38.0","29.0","36.0","13.0","19.0","31.0","8.0","105.0","121.0","255.0","130.0","129.0"
"Viols sur des mineur(e)s","63.0","63.0","24.0","9.0","6.0","78.0","36.0","27.0","19.0","34.0","23.0","16.0","169.0","64.0","8.0","41.0","48.0","18.0","26.0","43.0","39.0","7.0","41.0","36.0","57.0","50.0","32.0","69.0","12.0","9.0","69.0","100.0","7.0","135.0","80.0","58.0","15.0","46.0","140.0","26.0","33.0","27.0","65.0","18.0","106.0","58.0","11.0","30.0","6.0","86.0","49.0","65.0","17.0","45.0","58.0","13.0","35.0","91.0","26.0","284.0","79.0","28.0","147.0","44.0","62.0","27.0","32.0","93.0","37.0","149.0","16.0","34.0","56.0","26.0","69.0","135.0","92.0","134.0","95.0","46.0","84.0","38.0","26.0","58.0","50.0","39.0","45.0","22.0","44.0","27.0","12.0","109.0","107.0","133.0","125.0","137.0"
"Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s","22.0","30.0","26.0","1.0","4.0","110.0","17.0","25.0","7.0","29.0","12.0","17.0","205.0","45.0","2.0","18.0","38.0","23.0","19.0","50.0","23.0","4.0","18.0","44.0","38.0","44.0","22.0","71.0","4.0","7.0","35.0","144.0","6.0","137.0","86.0","87.0","20.0","32.0","106.0","13.0","21.0","28.0","46.0","14.0","118.0","70.0","11.0","10.0","3.0","71.0","39.0","50.0","31.0","20.0","76.0","17.0","43.0","73.0","16.0","218.0","61.0","27.0","132.0","48.0","28.0","20.0","35.0","104.0","43.0","234.0","6.0","32.0","45.0","22.0","32.0","618.0","80.0","100.0","102.0","34.0","63.0","14.0","14.0","62.0","31.0","27.0","17.0","29.0","26.0","21.0","14.0","103.0","124.0","208.0","139.0","106.0"
"Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s","46.0","101.0","50.0","7.0","6.0","151.0","30.0","42.0","22.0","46.0","31.0","24.0","251.0","63.0","12.0","62.0","112.0","37.0","23.0","62.0","62.0","11.0","56.0","64.0","50.0","70.0","70.0","78.0","14.0","17.0","50.0","178.0","18.0","141.0","87.0","98.0","29.0","65.0","103.0","28.0","32.0","52.0","72.0","13.0","169.0","94.0","25.0","34.0","8.0","108.0","70.0","91.0","30.0","54.0","121.0","30.0","91.0","117.0","26.0","521.0","98.0","53.0","318.0","54.0","55.0","23.0","49.0","173.0","98.0","241.0","32.0","45.0","86.0","30.0","79.0","265.0","172.0","215.0","160.0","66.0","100.0","52.0","31.0","114.0","67.0","70.0","48.0","45.0","64.0","66.0","20.0","171.0","148.0","188.0","155.0","171.0"
"Atteintes sexuelles","103.0","143.0","64.0","31.0","28.0","464.0","54.0","49.0","31.0","76.0","105.0","32.0","392.0","165.0","19.0","72.0","163.0","42.0","45.0","85.0","106.0","16.0","57.0","111.0","122.0","122.0","66.0","182.0","18.0","13.0","179.0","244.0","20.0","734.0","312.0","170.0","31.0","120.0","241.0","58.0","67.0","73.0","100.0","36.0","312.0","122.0","26.0","70.0","11.0","182.0","128.0","121.0","47.0","68.0","145.0","51.0","112.0","170.0","32.0","719.0","222.0","72.0","364.0","90.0","95.0","31.0","110.0","314.0","150.0","498.0","49.0","75.0","122.0","70.0","150.0","2086.0","388.0","332.0","268.0","74.0","155.0","52.0","34.0","306.0","136.0","110.0","69.0","100.0","55.0","91.0","24.0","234.0","257.0","344.0","206.0","248.0"
"Homicides commis contre enfants de moins de 15 ans","2.0","0.0","0.0","0.0","0.0","4.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","2.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","8.0","0.0","0.0","1.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","2.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0"
"Violences, mauvais traitements et abandons d'enfants.","96.0","167.0","98.0","36.0","37.0","379.0","47.0","36.0","33.0","140.0","29.0","35.0","562.0","235.0","5.0","99.0","128.0","69.0","37.0","86.0","101.0","10.0","43.0","214.0","225.0","71.0","217.0","171.0","13.0","25.0","148.0","384.0","26.0","356.0","132.0","134.0","80.0","156.0","351.0","28.0","40.0","50.0","175.0","36.0","423.0","258.0","29.0","40.0","4.0","146.0","82.0","397.0","46.0","58.0","231.0","38.0","118.0","385.0","22.0","1256.0","180.0","81.0","523.0","119.0","127.0","77.0","114.0","469.0","267.0","824.0","40.0","113.0","261.0","36.0","111.0","266.0","323.0","507.0","469.0","104.0","292.0","89.0","56.0","367.0","135.0","89.0","103.0","102.0","93.0","121.0","62.0","400.0","369.0","673.0","436.0","418.0"
"Délits au sujet de la garde des mineurs","212.0","328.0","206.0","92.0","55.0","477.0","186.0","180.0","76.0","157.0","211.0","77.0","767.0","375.0","47.0","175.0","420.0","77.0","94.0","253.0","251.0","25.0","197.0","323.0","302.0","352.0","113.0","411.0","45.0","58.0","434.0","531.0","85.0","770.0","811.0","472.0","66.0","213.0","618.0","119.0","165.0","157.0","214.0","60.0","509.0","366.0","91.0","213.0","25.0","226.0","157.0","273.0","76.0","112.0","193.0","57.0","326.0","616.0","81.0","995.0","553.0","104.0","614.0","323.0","213.0","96.0","274.0","490.0","329.0","641.0","170.0","222.0","254.0","176.0","370.0","801.0","517.0","387.0","360.0","218.0","433.0","175.0","105.0","448.0","372.0","297.0","133.0","119.0","216.0","138.0","71.0","443.0","434.0","449.0","224.0","389.0"
"Non versement de pension alimentaire","214.0","116.0","79.0","81.0","46.0","415.0","88.0","87.0","56.0","55.0","153.0","33.0","583.0","125.0","15.0","54.0","159.0","38.0","28.0","150.0","116.0","16.0","147.0","146.0","118.0","133.0","56.0","183.0","31.0","48.0","259.0","299.0","43.0","265.0","343.0","165.0","21.0","79.0","269.0","59.0","88.0","70.0","165.0","25.0","215.0","148.0","37.0","144.0","12.0","90.0","86.0","191.0","41.0","49.0","131.0","53.0","191.0","504.0","39.0","473.0","295.0","53.0","232.0","73.0","118.0","36.0","151.0","243.0","220.0","478.0","68.0","137.0","39.0","114.0","346.0","350.0","211.0","232.0","203.0","57.0","124.0","83.0","63.0","350.0","225.0","112.0","56.0","58.0","112.0","86.0","24.0","218.0","231.0","288.0","162.0","194.0"
"Trafic et revente sans usage de stupéfiants","24.0","25.0","18.0","2.0","7.0","130.0","11.0","11.0","6.0","13.0","16.0","11.0","383.0","21.0","2.0","9.0","30.0","11.0","9.0","38.0","17.0","2.0","16.0","34.0","20.0","15.0","22.0","53.0","19.0","15.0","53.0","55.0","2.0","122.0","105.0","47.0","2.0","15.0","69.0","10.0","25.0","8.0","37.0","9.0","60.0","56.0","2.0","8.0","4.0","19.0","16.0","19.0","8.0","13.0","45.0","9.0","41.0","94.0","11.0","277.0","40.0","14.0","126.0","19.0","66.0","6.0","62.0","89.0","53.0","53.0","17.0","13.0","16.0","15.0","71.0","735.0","100.0","113.0","123.0","13.0","27.0","8.0","8.0","62.0","34.0","30.0","23.0","24.0","22.0","17.0","8.0","143.0","262.0","632.0","266.0","100.0"
"Usage-revente de stupéfiants","195.0","151.0","96.0","69.0","39.0","436.0","62.0","83.0","40.0","64.0","90.0","32.0","298.0","219.0","43.0","65.0","172.0","47.0","29.0","104.0","170.0","15.0","53.0","170.0","87.0","133.0","171.0","224.0","22.0","39.0","121.0","297.0","36.0","391.0","279.0","295.0","43.0","146.0","286.0","58.0","80.0","65.0","143.0","44.0","408.0","122.0","14.0","39.0","17.0","150.0","221.0","144.0","117.0","133.0","184.0","182.0","197.0","445.0","70.0","985.0","152.0","79.0","682.0","73.0","111.0","69.0","113.0","378.0","132.0","1097.0","64.0","127.0","138.0","137.0","275.0","683.0","308.0","316.0","249.0","105.0","229.0","85.0","26.0","342.0","101.0","177.0","203.0","49.0","165.0","51.0","54.0","255.0","274.0","278.0","164.0","223.0"
"Usage de stupéfiants","1052.0","1490.0","603.0","625.0","634.0","4045.0","416.0","478.0","234.0","501.0","839.0","564.0","6155.0","1261.0","188.0","376.0","864.0","322.0","414.0","962.0","648.0","110.0","376.0","780.0","663.0","954.0","796.0","1023.0","297.0","286.0","940.0","2210.0","202.0","3972.0","2783.0","1290.0","291.0","1230.0","1967.0","406.0","944.0","595.0","1394.0","263.0","2674.0","1299.0","164.0","481.0","99.0","984.0","681.0","1468.0","573.0","375.0","2084.0","557.0","714.0","2429.0","407.0","8612.0","2304.0","388.0","3501.0","763.0","1205.0","342.0","1068.0","2201.0","1048.0","6469.0","276.0","963.0","538.0","1009.0","1920.0","10055.0","2110.0","5343.0","4749.0","371.0","1116.0","574.0","245.0","3642.0","1163.0","673.0","922.0","449.0","706.0","636.0","391.0","4069.0","5491.0","7716.0","4798.0","4701.0"
"Autres infractions à la législation sur les stupéfiants","118.0","138.0","72.0","5.0","9.0","130.0","77.0","53.0","10.0","46.0","67.0","3.0","258.0","41.0","20.0","79.0","36.0","3.0","2.0","38.0","77.0","7.0","47.0","54.0","125.0","134.0","12.0","115.0","25.0","28.0","95.0","89.0","12.0","62.0","523.0","151.0","25.0","46.0","76.0","24.0","254.0","133.0","30.0","44.0","28.0","71.0","11.0","30.0","12.0","38.0","23.0","3.0","11.0","45.0","32.0","3.0","118.0","75.0","3.0","126.0","11.0","52.0","48.0","43.0","16.0","27.0","25.0","95.0","12.0","71.0","22.0","174.0","36.0","29.0","195.0","1184.0","161.0","33.0","197.0","21.0","24.0","26.0","6.0","49.0","29.0","37.0","62.0","2.0","2.0","40.0","8.0","69.0","123.0","299.0","51.0","106.0"
"Délits de débits de boissons et infraction à la réglementation sur l'alcool  et le tabac","11.0","4.0","4.0","4.0","3.0","61.0","2.0","9.0","3.0","4.0","7.0","2.0","83.0","8.0","3.0","2.0","0.0","0.0","1.0","5.0","3.0","0.0","8.0","8.0","4.0","3.0","3.0","12.0","13.0","4.0","26.0","7.0","3.0","57.0","28.0","5.0","2.0","5.0","24.0","2.0","3.0","3.0","7.0","4.0","6.0","3.0","1.0","1.0","1.0","8.0","8.0","0.0","2.0","0.0","8.0","0.0","4.0","10.0","3.0","18.0","3.0","3.0","15.0","6.0","0.0","15.0","14.0","19.0","3.0","46.0","1.0","7.0","4.0","10.0","17.0","27.0","98.0","7.0","5.0","3.0","3.0","1.0","3.0","43.0","19.0","6.0","8.0","6.0","3.0","2.0","0.0","10.0","2.0","41.0","6.0","12.0"
"Fraudes alimentaires et infractions à l'hygiène","2.0","4.0","3.0","0.0","2.0","51.0","9.0","2.0","2.0","0.0","6.0","0.0","15.0","3.0","0.0","6.0","3.0","0.0","2.0","3.0","2.0","3.0","0.0","0.0","11.0","7.0","3.0","4.0","3.0","4.0","3.0","1.0","1.0","14.0","17.0","7.0","2.0","5.0","7.0","4.0","2.0","0.0","5.0","2.0","10.0","12.0","5.0","0.0","0.0","2.0","2.0","1.0","3.0","1.0","4.0","5.0","7.0","4.0","1.0","9.0","7.0","0.0","18.0","5.0","8.0","3.0","15.0","21.0","4.0","5.0","0.0","4.0","2.0","5.0","10.0","3.0","22.0","7.0","3.0","3.0","12.0","5.0","1.0","8.0","8.0","4.0","1.0","3.0","0.0","4.0","1.0","6.0","2.0","7.0","2.0","42.0"
