Dept	DDSP	Circonscription	Type	Adresse	Code Postal	Commune	Tel	latitude	longitude
06		NICE	CS	Traverse Digue des Française - Nice Ouest	06000	NICE	04 97 25 98 00		
06		NICE	CS	Avenue Albert 1er - Cité Administrative	06230	VILLEFRANCHE SUR MER	04 93 76 30 80	43.70561	7.309613
06		NICE	CS	21, Rue du Maréchal Vauban	06000	NICE	04 92 17 21 64	39.1212883	-122.8386002
06		NICE	AN	28, Rue de Roquebilière - Caserne Auvare (9 bâtiments)	06000	NICE	04 92 17 22 22	43.7119442	7.288447
06		NICE	AN	37 - 39, Rue de Roquebilière	06000	NICE	04 92 17 22 22	43.711676	7.2883344
06		NICE	AN	Aéroport Nice Côte d'Azur Zone Ouest - Chenil	06000	NICE	x		
06		NICE		Concession logement	6000	NICE			
06		NICE		Concession logement	6000	NICE			
06		NICE		Concession logement	6000	NICE			
06		ANTIBES	CP	5, rue des Frères Olivier 	06600	ANTIBES	04 92 90 78 00	43.5799195	7.1199245
06		ANTIBES	Csub	Avenue Jean Moulin - "Lou San Sébastien"	06220	VALLAURIS	04 92 95 35 10	43.575836	7.047256
06		ANTIBES	CS	Chemin des Terriers - Quartier Croix Rouge	06600	ANTIBES	04 92 91 95 23	43.598235	7.078401
06		ANTIBES		Rue Henri Laugier - Zone Industrielle des Croutons - Stand de tir	6600	ANTIBES		43.606781	7.075506
06		CAGNES SUR MER	CP	20 bis, Chemin des Grands Plans	06800	CAGNES SUR MER	04 92 13 56 10	43.6559824	7.1505219
06		CAGNES SUR MER	Csub	475, Contre-Allée Georges Pompidou	06700	ST LAURENT DU VAR	04 93 31 16 87	43.670373	7.194202
06		CANNES	CP	1, Avenue de Grasse	06400	CANNES	04 93 06 22 22	43.5543309	7.0164737
06		CANNES	CS	1, Ave Michel Jourdan 	06400	CANNES LA BOCCA	04 93 47 77 68		
06		CANNES	CS	66, Bd Sadi Carnot	06110	LE CANNET	04 93 45 94 22	43.5728851	7.0162055
06		CANNES	AN	Lieu Dit Chemin rural de l'Abadie - Chenil	6400	CANNES	x		
06		GRASSE	CP	1, Ave du Maréchal de Lattre de Tassigny	06130	GRASSE	04 93 40 91 91	37.2619286	-90.1236877
06		MENTON	HP	8, Rue Partouneaux	06500	MENTON	04 93 28 66 00	43.7749	7.4974933
06		MENTON	CS	25, Bd de la République - Beausoleil	06240	BEAUSOLEIL	04 93 78 24 22	43.7428428	7.4250908
06		MENTON	CS	131, Avenue de Verdun	06190	ROQUEBRUNE CAP MARTIN	04 93 35 60 01	43.7610099	7.470907
06		MENTON	AN	2, rue des Soeurs Munet - Plaintes	06500	MENTON	04 92 10 00 84	33.3424492	-82.0564804
07	DDSP	PRIVAS	CP	3, Avenue Saint Exupéry	07000	PRIVAS	04 75 64 00 22	44.7342511	4.6018419
07		PRIVAS	AN	1, Avenue de Chômerac - SDIG	07000	PRIVAS	04 75 66 91 00	44.7344987	4.5982495
07		PRIVAS		Stand de tir	07000	PRIVAS		44.7414856	4.5784745
07		ANNONAY	CP	64, Avenue de l'Europe	07104	ANNONAY	04 75 67 00 22	45.245938	4.6679704
07		AUBENAS	CP	16, Rue Jean Jaurès	07200	AUBENAS	04 75 89 22 22	44.6200222	4.391377
07		GUILHERAND GRANGES	CP	670, Ave rue Georges Clémenceau	07500	GUILHERAND GRANGES	04 75 63 22 22	44.9323144	4.8707617
08	DDSP	CHARLEVILLE MEZIERES	HP	36, Avenue Jean-Jaurès	08000	CHARLEVILLE MEZIERES	03 24 57 94 94	49.7697517	4.7231474
08		CHARLEVILLE MEZIERES	AN	Place de l'Hôtel de Ville - OMP - SDIG - CDSF	08000	CHARLEVILLE MEZIERES			
08		CHARLEVILLE MEZIERES	AN	197, Route de Warcq - CRS 23 - Chenil	08000	CHARLEVILLE MEZIERES			
08		SEDAN	CP	41, Rue du Rivage	08200	SEDAN	03 24 27 86 00	49.7021565	4.9444646
09	DDSP	FOIX	CP	2, Avenue Lakanal	09000	FOIX	05 61 05 43 00	42.9620083	1.6038677
09		FOIX	AN	3, Avenue Lakanal (annexe DDSP)	09000	FOIX	05 61 05 43 00	42.960435	1.6047
09		FOIX	AN	2, Rue de la Préfecture (Préfecture)	09000	FOIX		42.966979	1.605978
09		FOIX		Concession logement	09000	FOIX		42.9516449	1.5686096
09		PAMIERS	CP	Boulevard Delcassé	09100	PAMIERS	05 34 01 32 60	43.114456	1.61387
10	DDSP	TROYES	HP	18, Rue des Gayettes + Chenil	10000	TROYES	03 25 43 51 00	48.2892471	4.0733177
10		TROYES	CS	5, Rue Bernard Palissy	10600	LA CHAPELLE SAINT LUC	03 25 74 36 30	48.3085102	4.03835
10		TROYES	CS	1, Rue de Darmstadt	10000	TROYES	03 25 80 98 87	48.3038069	4.095127
10		TROYES	CS	58, Ave des Lombards	10000	TROYES	03 25 49 66 95	48.271407	4.080716
11	DDSP	CARCASSONNE	CP	4, Bd Barbès	11000	CARCASSONNE	04 68 11 26 00	43.21031	2.34914
11		CARCASSONNE	AN	35, rue Voltaire - OMP, CDSF.	11000	CARCASSONNE	04 68 11 26 00		
11		CARCASSONNE	AN	22, Rue de Strasbourg - SDIG	11000	CARCASSONNE		43.214757	2.3581924
11		CASTELNAUDARY	CP	1, Quai du Port	11400	CASTELNAUDARY	04 68 94 50 50	43.3154192	1.9545813
11		NARBONNE	CP	Bd du Général de Gaulle	11100	NARBONNE	04 68 90 38 50	43.184767	3.009156
12	DDSP	RODEZ	CP	2, Rue Hervé Gardye - Centre Ville	12000	RODEZ	05 65 77 73 17	44.3453026	2.5721755
12		RODEZ	AN	Rue Maurice Bompard - Chenil	12000	RODEZ	05 65 42 44 61	44.349056	2.578805
12		RODEZ		Parking	12000	RODEZ		38.0323982	-122.2668915
12		RODEZ	PCPP	57, Bd Paul Ramadier - HLM les Maronniers	12000	RODEZ	05 65 69 29 50		
12		RODEZ	AN	8, Rue François Cabrol - SDIG	12007	RODEZ	05 34 55 48 77	38.0323982	-122.2668915
12		DECAZEVILLE	CP	6, Place Cabrol	12300	DECAZEVILLE	05 65 43 88 00	44.55901	2.2538602
12		DECAZEVILLE		Stand de tir	12300	DECAZEVILLE		44.5898705	2.2606845
12		MILLAU	CP	14, Rue de la Condamine	12100	MILLAU	05 65 61 23 00	44.100894	3.0764106
12		MILLAU		Stand de tir	12100	MILLAU		44.0980415	3.1202583
13	DDSP	MARSEILLE	HP	2, rue Antoine Becker	13002	MARSEILLE	04 91 39 80 00	43.2998791	5.3660891
13		MARSEILLE	CD	3, Rue Odette Jasse	13015	MARSEILLE	04 96 16 94 00	43.343279	5.370227
13		MARSEILLE	CD	66-68 La Canebière	13001	MARSEILLE	04 88 77 58 00	43.2975731	5.380929
13		MARSEILLE	CD	87, Bd Mireille Lauze	13010	MARSEILLE	04 91 17 79 50	43.2830141	5.4094759
13		MARSEILLE	Csub	3, Ave Jean Baptiste Fouque	13013	MARSEILLE	04 91 12 22 22	43.3194728	5.4080013
13		MARSEILLE	Csub	50, Bd Charles Kaddouz	13012	MARSEILLE	04 91 18 60 60	43.3106767	5.427765
13		MARSEILLE	Csub	24, Avenue Roger Chieusse	13016	MARSEILLE	04 91 09 12 40 	43.362521	5.3181254
13		MARSEILLE	Csub	9, Rue Raymond Cayol	13009	MARSEILLE	04 91 40 91 11	43.2483356	5.4015568
13		MARSEILLE	Csub	187, Avenue de Saint Marcel	13011	MARSEILLE	04 91 18 22 50		
13		MARSEILLE	Csub	138, Avenue des Chartreux	13004	MARSEILLE	04 91 18 54 00	43.3076361	5.3999855
13		MARSEILLE	Csub	143, Rue Félix Pyat	13003	MARSEILLE	04 95 05 16 60	43.3180402	5.3747412
13		MARSEILLE	Csub	Avenue Raimu - Centre Urbain "Le Merlan"	13014	MARSEILLE	04 91 21 53 80	43.3409233	5.3913269
13		MARSEILLE	Csub	69, Avenue de Haïfa	13008	MARSEILLE	04 91 16 80 80	43.2522825	5.391444
13		MARSEILLE	Csub	2, Avenue Georges Pompidou	13000	PLAN DE CUQUES		43.3406596	5.4666253
13		MARSEILLE	CS	6 - Promenade George Pompidou - USPL	13008	MARSEILLE		36.3510208	-119.3565445
13		MARSEILLE	CS	63, rue Jean Martin	13005	MARSEILLE	04 91 36 56 64	43.2929228	5.403365
13		MARSEILLE	CS	Square Natvick - Gare Saint-Charles	13001	MARSEILLE	04 91 14 29 97	43.30418	5.38799
13		MARSEILLE	CS	98, Rue de Rome	13006	MARSEILLE	04 96 10 62 68	43.2910305	5.3808707
13		MARSEILLE	AN	33, Avenue de Saint-Louis - CDSF	13015	MARSEILLE	04 91 03 11 22	43.3437349	5.3595217
13		MARSEILLE	CS	110, Avenue de la Corse	13007	MARSEILLE	04 91 15 71 80	43.2898121	5.3565662
13		MARSEILLE	CS	40, Bd Schuman - Annexe Hôtel de Police	13002	MARSEILLE	04 91 39 80 02	43.3152847	5.3566008
13		MARSEILLE	AN	33, Avenue de Saint-Louis - CDSF	13015	MARSEILLE	04 91 03 11 22	43.3437349	5.3595217
13		MARSEILLE	AN	Bât 12 - Site du Canet - Compagnie de Sécurisation	13015	MARSEILLE			
13		MARSEILLE	AN	28, Rue Saint Jean du Désert - Compagnie Circulation	13005	MARSEILLE	04 91 48 36 83	43.2989328	5.3784653
13		MARSEILLE	AN	6, Promenade Georges Pompidou - USPL	13008	MARSEILLE		36.3510208	-119.3565445
13		MARSEILLE	AN	Station Métro Bougainville - USTC	13015	MARSEILLE	04 91 58 50 12	43.3531342	5.3649635
13		MARSEILLE	AN	1, Place de la Préfecture - Compagnie d'Intervention	13006	MARSEILLE	04 91 39 80 00	43.291126	5.3805094
13		MARSEILLE	AN	55-57 rue de la Joliette	13002	MARSEILLE	04 9113 12 40	43.3027406	5.3708527
13		MARSEILLE	AN	Chemin de la Colle d'Argene - Cabries - Chenil	13480	CABRIES	04 42 22 55 61	43.440683	5.384012
13		MARSEILLE		Stand de tir		MILLE ALLAUCH		35.8876686	-119.4866714
13		MARSEILLE		Parking		MARSEILLE		43.2933617	5.3712902
13		MARSEILLE		Concession logement		SAUSSET LES PINS			
13		MARSEILLE		Concession logement		MARSEILLE		36.3510208	-119.3565445
13		AIX EN PROVENCE	CP	10, Avenue de l'Europe - Cedex 02	13093	AIX EN PROVENCE	04 42 93 97 00		
13		AIX EN PROVENCE	PCPP	6, Cours Brémond	13090	LES MILLES	04 42 39 24 48	43.5035828	5.3876531
13		ARLES	CP	Boulevard des Lices	13200	ARLES	04 90 18 45 00	43.675497	4.628816
13		ARLES		Stand de tir					
13		AUBAGNE	CP	9 - 11, Avenue Jeanne d'Arc	13400	AUBAGNE	04 42 18 55 58	43.2951274	5.5668416
13		AUBAGNE	CS	2, Bd de la Gare	13400	LA PENNE SUR HUVEAUNE	04 91 87 74 81	43.2819888	5.5150509
13		AUBAGNE	AN	11, Avenue Jeanne d'Arc - BSU	13400	AUBAGNE		43.2952297	5.5667911
13		ISTRES	CP	Rue Chantourné	13800	ISTRES	04 42 11 17 17	43.502529	4.991092
13		ISTRES	CS	16, avenue Marius Chalves	13140	MIRAMAS	04 90 53 78 30	43.5792138	4.9998088
13		LA CIOTAT	CP	59, Avenue Victor Giraud	13600	LA CIOTAT	04 42 18 67 30	30.9075546	-91.8198318
13		MARIGNANE	CP	Avenue du 8 Mai 1945	13700	MARIGNANE	04 42 31 90 00	43.412762	5.220348
13		MARTIGUES	CP	Rond point de l'Hôtel de Ville	13500	MARTIGUES	04 42 41 31 10	43.405737	5.047528
13		MARTIGUES	CS	32, Bd Charles Nedelec	13100	PORT DU BOUC	04 42 40 54 00	30.9882507	-82.8726273
13		PORT SAINT LOUIS DU RHONE	CP	33-35, Avenue de la République	13518	PORT SAINT LOUIS DU RHONE	04 42 86 50 21	43.3895385	4.8087704
13		SALON DE PROVENCE	CP	Avenue du Pays Catalan	13300	SALON DE PROVENCE	04 90 17 04 50	43.65514	5.097726
13		TARASCON	CP	3, Boulevard du Viaduc	13150	TARASCON	04 90 91 52 90	43.802102	4.6600089
13		TARASCON		Stand de tir	13150	TARASCON		43.8137321	4.6849241
13		VITROLLES	CP	Avenue Antoine Biancardini	13127	VITROLLES	04 42 10 88 20	43.438523	5.255481
13		VITROLLES	CS	77, Ave François Mitterand	13170	LES PENNES MIRABEAU	04 91 65 03 31	43.39935	5.340835
14	DDSP	CAEN	CP	10, Rue Thibaut de la Fresnaye	14000	CAEN	02 31 29 22 22	49.186718	-0.3786776
14		CAEN	CS	Rue des Jacobins = RI	14000	CAEN	02 31 15 63 60	49.179339	-0.360511
14		CAEN	CS	19,  Avenue Guynemer	14000	CAEN	02 31 35 43 60	49.1672787	-0.3490606
14		CAEN	CS	6, Résidence du Chardonneret - Quartier Chemin Vert	14000	CAEN	02 31 29 13 20	49.1902971	-0.3955802
14		CAEN	CS	Route de Caumont	14000	CARPIQUET	02 31 29 55 35	49.187084	-0.42635
14		CAEN	CS	Place du Petit Vertige	14200	HEROUVILLE SAINT CLAIR	02 31 96 78 78	49.204811	-0.32961
14		CAEN	CS	34,  Rue Emile Zola	14210	MONDEVILLE	02 31 25 03 20	49.173428	-0.3258462
14		CAEN	PCPP	Aéroport de Caen-Carpiquet	14000	CAEN		49.1833	-0.459
14		CAEN	AN	7, Bd André Detolle - Chenil	14000	CAEN	02 31 73 27 17	31.6441002	-92.0195999
14		DEAUVILLE	CP	8, Rue Désiré le Hoc	14800	DEAUVILLE	02 31 14 61 70	49.3598858	0.0805302
14		DIVES SUR MER	CP	13, Avenue Secretan	14160	DIVES SUR MER	02 31 28 23 00	49.2880179	-0.1005044
14		DIVES SUR MER		Parking	14160	DIVES SUR MER			
14		HONFLEUR	CP	3, Rue Villey	14600	HONFLEUR	02 31 14 44 45	49.4177806	0.2363804
14		LISIEUX	CP	41, Bd Sainte Anne	14100	LISIEUX	02 31 48 45 50	49.1426665	0.224281
15	DDSP	AURILLAC	CP	17, Rue Pasteur	15000	AURILLAC	04 71 45 51 00	44.9255271	2.4441308
16	DDSP	ANGOULEME	CP	Place du Champ de Mars	16000	ANGOULEME	05 45 39 38 37	45.649069	0.162003
16		ANGOULEME	CS	4, Place Henri Farman	16000	ANGOULEME	05 45 23 51 41	45.650076	0.12589
16		ANGOULEME	CS	Place Hildesheim	16000	ANGOULEME	05 45 65 33 75	45.631208	0.152582
16		ANGOULEME	CS	151, Route de Paris	16000	LE GOND PONTOUVRE	05 45 68 63 77	45.6720078	0.1737005
16		ANGOULEME	CS	Boulevard Léon Blum	16000	SOYAUX	05 45 95 56 44	45.647955	0.185797
16		ANGOULEME	PCPP	Place de l'Hôtel de Ville	16000	LA COURONNE	05 45 67 24 43	45.668105	0.166136
16		ANGOULEME	AN	Place du Champ de Mars (annexe DDSP)	16000	ANGOULEME	05 45 39 38 37	45.6456718	0.1451442
16		COGNAC	CP	14, Rue Richard	16100	COGNAC	05 45 36 38 50	45.6956223	-0.3244346
17	DDSP	LA ROCHELLE	CP	2, Place de Verdun	17000	LA ROCHELLE	05 46 51 36 36	46.1627704	-1.152437
17		LA ROCHELLE	CS	17, Avenue du Général Mangin - Secteur Ouest	17000	LA ROCHELLE	05 46 42 28 30	46.166872	-1.183146
17		LA ROCHELLE	CS	28, rue Gargoulleau - Centre Ville	17000	LA ROCHELLE	05 46 27 52 10	46.161965	-1.1517891
17		LA ROCHELLE	CS	Impasse du Clos Lucé		PERIGNY		46.156825	-1.098344
17		LA ROCHELLE	PCPP	28, Ave Billaud Varenne	17000	VILLENEUVE LES SALINES	05 46 44 76 75		
17		LA ROCHELLE	PCPP	Ave Jean Monnet	17000	LA ROCHELLE		46.142813	-1.153865
17		LA ROCHELLE	AN	Boulevard Emile Delmas - archives	17000	LA ROCHELLE	05 46 43 00 43	46.160577	-1.216941
17		LA ROCHELLE	AN	Rue de la Marne - Chenil	17000	LA ROCHELLE	05 46 35 13	31.7930298	-92.3902588
17		LA ROCHELLE	AN	35, Rue Léonce Vieljeux - OMP - SDIG	17000	LA ROCHELLE	05 46 41 22 97	46.1582194	-1.1567346
17		LA ROCHELLE		Stand de tir	17000	LA ROCHELLE		46.135098	-1.137286
17		LA ROCHELLE		Stand de tir	17000	LA ROCHELLE		46.135098	-1.137286
17		ROCHEFORT SUR MER	CP	42, Rue Jean Jaures	17306	ROCHEFORT SUR MER	05 46 87 69 14	45.9345058	-0.9597105
17		ROYAN	CP	13, Rue du Château d'Eau	17200	ROYAN	05 46 39 40 10	45.6238282	-1.0321624
17		ROYAN	CS	7, Bd de la République	17200	ST GEORGES DE DIDONNE	05 46 02 56 40		
17		ROYAN	PCPP	28, Ave de Verdun	17200	SAINT PALAIS		45.6462309	-1.0625154
17		SAINTES	CP	Place du Bastion	17100	SAINTES	05 46 90 30 40	45.746891	-0.636641
17		SAINTES	AN	4, Place du 11 Novembre - SDIG. 	17100	SAINTES	05 46 74 23 61		
18	DDSP	BOURGES	HP	6,  Avenue d'Orléans	18000	BOURGES	02 48 23 77 17	47.0908968	2.3841988
18		BOURGES	CS	238, Avenue du Général de Gaulle	18000	BOURGES	02 48 27 98 20	47.10121	2.373273
18		BOURGES	CS	16, Rue Hyppolite Boyer	18000	BOURGES	02 48 48 05 00	47.056997	2.4068479
18		BOURGES	AN	Le Vernillet - Chenil	18570	CHAPELLE SAINT URSIN		39.8167191	-79.3308716
18		VIERZON	CP	3, Rue Mac Nab	18100	VIERZON	02 48 52 92 40	47.2233649	2.0647417
19	DDSP	TULLE	CP	2,  Rue Anne Vialle	19000	TULLE	05 55 21 72 00	45.2637664	1.7661207
19		BRIVE LA GAILLARDE	CP	4, Boulevard Anatole France	19100	BRIVE LA GAILLARDE	05 55 17 46 00	45.1606367	1.5348825
19		USSEL	CP	4, Avenue Carnot	19200	USSEL	05 55 96 11 29	45.5465802	2.3099684
21	DDSP	DIJON	HP	2, Place Suquet	21000	DIJON	03 80 44 55 00		
21		DIJON	Csub	Rue de la Fontaine - Quartier du Mail	21300	CHENOVE	03 80 54 03 60		
21		DIJON	CS	Bd Bachelard - Fontaine d'Ouche	21000	DIJON	03 80 44 55 71	47.318405	5.001897
21		DIJON	CS	14, Bd des Martyrs de la Résistance - Quartier Grésilles	21000	DIJON	03 80 44 55 69	47.3305039	5.0647018
21		DIJON	CS	1, Rue Roland Dorgeles	21000	LONGVIC	03 80 68 04 66	47.2878009	5.0623986
21		DIJON	CS	8, rue Charles Dullin	21240	TALANT	03 80 53 33 49	47.3397744	4.9961042
21		DIJON	AN	Mont Afrique - Chenil	21160	FLAVIGNEROT	03 80 42 92 06	47.292977	4.936483
21		BEAUNE	CP	5, Avenue Charles de Gaulle	21200	BEAUNE	03 80 25 09 25	47.0178349	4.8349517
22	DDSP	SAINT BRIEUC	HP	Boulevard Waldeck Rousseau	22022	SAINT BRIEUC	02 96 77 29 00	48.509494	-2.757242
22		SAINT BRIEUC	CS	17, Rue de Rennes	22022	LANGUEUX	02 96 33 54 55	48.4938803	-2.7123007
22		SAINT BRIEUC	PCPP	30, Rue de Bel Air	22022	PLOUFRAGAN	02 96 78 60 17	48.498355	-2.7865535
22		DINAN	CP	16 bis, Place Duguesclin	22101	DINAN	02 96 87 74 00	31.2176895	-90.1927032
22		LANNION	CP	2 bis, Bd du Forlac'h	22300	LANNION	02 96 46 69 50	43.1529503	-88.1592865
22		LANNION	AN	5, Rue Auguste Pavie - OMP	22300	GUINGAMP	02 96 44 26 		
23	DDSP	GUERET	CP	Cité Administrative - B.P 123	23000	GUERET	05 55 41 27 00		
23		GUERET	AN	17, Place Bonnyaud - Cité Administrative - SDIG	23000	GUERET		46.1684217	1.8711399
23		GUERET		Concession logement	23000	GUERET		46.1734772	1.8791604
24	DDSP	PERIGUEUX	HP	Rue Antoine Gadaud	24000	PERIGUEUX	05 53 06 44 44	45.185551	0.715653
24		PERIGUEUX	CS	102, Rue du Général de Gaulle	24460	COULOUNIEIX CHAMIERS	05 53 08 18 57		
24		PERIGUEUX	CS	Espace Agora	24000	BOULAZAC	05 53 35 16 41	45.181155	0.762695
24		BERGERAC	CP	37, Bd Chanzy	24108	BERGERAC	05 53 74 74 17	44.854757	0.4945323
25	DDSP	BESANCON	HP	2, Avenue de la Gare d'Eau	25000	BESANCON	03 81 21 11 22	47.2326167	6.0211938
25		BESANCON	CS	3, Rue Picasso  - "La Planoise"	25000	BESANCON	03 81 52 22 66	47.2188821	5.9736605
25		BESANCON	CS	7, Rue des Lilas	25000	BESANCON	03 81 88 95 70	47.2597293	6.0438978
25		BESANCON	AN	Fort de Brégille - Chenil	25000	BESANCON		47.240091	6.041378
25		BESANCON	AN	2, Avenue de la Gare d'Eau - Syndicat	25000	BESANCON	03 81 21 11 22	47.2326167	6.0211938
25		MONTBELIARD	CP	2, Ave du Maréchal de Lattre de Tassigny	25206	MONTBELIARD	03 81 91 00 91	47.5115808	6.7976111
25		MONTBELIARD	CS	Rue Duvernoy	25000	AUDINCOURT	03 81 36 99 75	47.480103	6.842682
25		MONTBELIARD	CS	Rue Claude Debussy - Quartier Petite Hollande	25206	MONTBELIARD	03 81 31 28 23		
25		MONTBELIARD	CS	Route de Belchamp + Chenil	25700	VALENTIGNEY LES BUIS	03 81 35 85 22		
25		PONTARLIER	HP	16, Rocade Georges Pompidou	25304	PONTARLIER	03 81 38 51 10	46.901207	6.3541093
25		PONTARLIER	AN	38, Rue de Pontarlier - SDIG	25304	PONTARLIER			
26	DDSP	VALENCE	HP	21, Rue Farnerie	26021	VALENCE	04 75 82 22 22	44.9342698	4.892647
26		VALENCE	CS	6, Ave Jean Moulin	26000	BOURG LES VALENCE	04 75 78 00 17		
26		VALENCE	CS	8, Rue Pierre Sémard	26000	PORTE LES VALENCES	04 75 41 80 31		
26		VALENCE	CS	31 Ave George Clémenceau - Le Polygone	26000	VALENCE	04 75 86 15 05	44.9373288	4.9012811
26		VALENCE	CS	1, Rue Georges Bizet - Quartier Fontbarlettes	26000	VALENCE	04 75 78 51 10		
26		VALENCE	AN	5, Cours Saint Ruff - SDIG	26000	VALENCE			
26		VALENCE	AN	Cité Administrative Brunet - Place L. Le Cardonnel + Chenil	26000	VALENCE	04 75 43 53 79	39.3904915	-0.5430149
26		VALENCE		Stand de tir	26000	BOURG LES VALENCE			
26		MONTELIMAR	CP	Rue Paul Loubet	26203	MONTELIMAR	04 75 00 70 70	44.565012	4.748124
26		ROMANS	CP	Quai St Claire	26100	ROMANS	04 75 70 22 22		
26		ROMANS	CS	Rue Henri Dunand - Immeuble Hermès	26100	ROMANS	04 75 70 34 06 		
27	DDSP	EVREUX	HP	13, Rue de la Rochette	27000	EVREUX	02 32 39 90 00	49.0267965	1.1408511
27		EVREUX	CS	4, Rue Irene et Joliot Curie	27000	EVREUX	02 32 28 37 19	49.0101512	1.1629361
27		EVREUX	AN	Base Aérienne 105 - Chenil	27000	EVREUX			
27		EVREUX	AN	Rue du Val Iton - Stand de Tir	27000	EVREUX			
27		VAL DE REUIL LOUVIERS	CP	Rue de la Chaussée du Parc	27400	VAL DE REUIL LOUVIERS	02 32 59 72 29	49.233093	1.176049
27		VAL DE REUIL LOUVIERS	CS	Place de la République	27400	LOUVIERS	02 32 09 42 80	49.21326	1.166694
27		VERNON	CP	4, Avenue Foch	27200	VERNON	02 32 64 30 00	49.0972722	1.4756857
28	DDSP	CHARTRES	HP	57, Rue du Docteur Maunoury	28000	CHARTRES	02 37 24 75 39	48.4403134	1.4824778
28		CHARTRES	AN	Les Jardins Familiaux du Gord - Chenil	28000	CHARTRES	02 37 28 45 89	48.4479256	1.5047474
28		DREUX	CP	4, Place d'Evesham	28100	DREUX	02 37 65 84 10	48.734284	1.3618661
28		DREUX	CS	Route de Crécy	28500	VERNOUILLET	02 37 46 37 23	48.729418	1.33601
28		DREUX	CS	1 place des Oriels - Quartier des Oriels	28100	DREUX	02 37 64 29 53	48.7375295	1.3875817
28		DREUX	AN	Chemin Notre Dame de la Ronde - Chenil	28100	DREUX	x	48.752858	1.367176
29	DDSP	QUIMPER	HP	3, Rue Theodore le Hars	29000	QUIMPER	02 98 65 60 00	47.9945123	-4.0998306
29		QUIMPER	CS	Lenshescq	29000	ERGUE GABERIC			
