nom_contextuel_unite,localite_unite,num_tph_fixe_unite,num_fax_unite,adresse_code_postal,adresse_geographique_unite,lambert93_x,lambert93_y,latitude,longitude
Brigade territoriale autonome d'Irigny,IRIGNY,+33 4 78 50 30 33,+33 4 72 66 18 69,69540,20 Avenue Jean Gotail 69540 IRIGNY,841971,6509503,"4,823656","45,670327"
Brigade territoriale autonome de CÃ©ly,CELY,+33 1 64 81 90 85,+33 1 64 81 90 91,77930,9 Rue Edouard Goerg 77930 CELY,665086,6817679,"2,527767","48,458441"
Brigade territoriale autonome de Jacou-Clapiers,CLAPIERS,+33 4 99 63 68 50,+33 4 99 63 68 51,34830,10 Avenue de l'Europe 34830 CLAPIERS,772692,6285210,"3,900993","43,662196"
Brigade territoriale autonome de Tatinghem,LONGUENESSE,+33 3 21 38 14 17,+33 3 21 38 71 68,62219,1 Rue Rembrandt 62219 LONGUENESSE,648508,7071925,"2,271840","50,741840"
Brigade territoriale autonome de Basse-Goulaine,BASSE GOULAINE,+33 2 40 80 56 93,+33 2 40 80 72 78,44115,80 Rue de Goulaine 44115 BASSE GOULAINE,362585,6688079,"-1,459931","47,207220"
Brigade territoriale autonome de Betton,BETTON,+33 2 99 55 85 38,+33 2 99 55 85 39,35830,63 Avenue d'Armorique 35830 BETTON,354636,6797354,"-1,649721","48,185000"
Brigade territoriale autonome de Roissy-en-France,ROISSY EN FRANCE,+33 1 30 11 61 80,+33 1 30 11 61 87,95700,3 Chemin de la VallÃ©e 95700 ROISSY EN FRANCE,664024,6878218,"2,508305","49,002870"
Brigade territoriale autonome de Beauzelle,BEAUZELLE,+33 5 62 74 51 70,+33 5 62 74 51 77,31700,50 Rue de la RÃ©publique 31700 BEAUZELLE,569001,6286472,"1,376147","43,665163"
Brigade territoriale autonome de Brenouille,BRENOUILLE,+33 3 44 27 34 17,+33 3 44 27 34 19,60870,1 Rue de la Planchette 60870 BRENOUILLE,666646,6911959,"2,541462","49,306360"
Brigade territoriale autonome de ChÃ¢tenoy-le-Royal,CHATENOY LE ROYAL,+33 3 85 98 97 40,+33 3 85 98 97 50,71880,2 Rue Lucie Aubrac 71880 CHATENOY LE ROYAL,838016,6634688,"4,809718","46,798096"
Brigade territoriale autonome du TrÃ©port,LE TREPORT,+33 2 35 86 14 66,,76470,2 Rue Albert Edward Dixon 76470 LE TREPORT,583580,6996102,"1,375917","50,052540"
Brigade territoriale autonome de Palavas-les-Flots,PALAVAS LES FLOTS,+33 4 67 07 01 20,+33 4 67 07 01 29,34250,1 Rue de la Tramontane 34250 PALAVAS LES FLOTS,775396,6270609,"3,932369","43,530549"
Brigade territoriale autonome de Graveson,GRAVESON,+33 4 32 61 96 40,+33 4 32 61 96 49,13690,12 Avenue GÃ©nÃ©ral de gaulle 13690 GRAVESON,843197,6307202,"4,780804","43,849294"
Brigade territoriale autonome de Phalempin,PHALEMPIN,+33 3 28 55 25 20,+33 3 28 55 25 25,59133,18 Rue du Ponchelet 59133 PHALEMPIN,700983,7047032,"3,013840","50,520573"
Brigade territoriale autonome de Port-Saint-Louis-du-RhÃ´ne,PORT ST LOUIS DU RHONE,+33 4 42 86 50 21,+33 4 42 86 50 30,13230,35 Avenue de la RÃ©publique 13230 PORT ST LOUIS DU RHONE,846635,6256183,"4,809011","43,389654"
Brigade territoriale autonome de Papara,PAPARA,+689 54 80 05,+689 54 80 08,98712,"Ãle de Tahiti PK 36,5 Ãles-du-Vent 98712 PAPARA",234052,8038683,"-4,942130","59,119928"
Brigade territoriale autonome de Niederbronn-les-Bains-Reichshoffen,REICHSHOFFEN,+33 3 88 05 84 10,+33 3 88 05 87 35,67110,51 Route d'Oberbronn 67110 REICHSHOFFEN,1040581,6880412,"7,651268","48,933380"
Brigade territoriale autonome de Wittelsheim,WITTELSHEIM,+33 3 89 55 59 79,+33 3 89 55 59 85,68310,40 Rue Jean Mermoz 68310 WITTELSHEIM,1017064,6752699,"7,237250","47,798103"
Brigade territoriale autonome de Plateau-Caillou,ST PAUL,+33 2 62 22 71 19,+33 2 62 91 97 27,97460,15 Avenue des Martins Plateau-Caillou 97460 ST PAUL,327586,7673240,"-2,891199","55,985606"
Brigade territoriale autonome de MÃ©ry-sur-Oise,MERY SUR OISE,+33 1 30 36 06 00,+33 1 30 36 25 02,95540,4 Avenue Marcel Perrin 95540 MERY SUR OISE,640306,6885460,"2,183138","49,066219"
Brigade territoriale autonome de Magny-les-Hameaux,MAGNY LES HAMEAUX,+33 1 30 52 07 94,+33 1 30 52 82 00,78114,1 Rue Marc-Antoine Charpentier 78114 MAGNY LES HAMEAUX,632449,6847669,"2,081645","48,725614"
Brigade territoriale autonome de Matoury,MATOURY,+33 5 94 31 08 91,,97351,100 Rue des Cotonniers 97351 MATOURY,350547,534433,",724146","-2,475822"
Brigade territoriale autonome de Romorantin-Lanthenay,ROMORANTIN LANTHENAY,+33 2 54 83 48 12,+33 2 54 83 48 14,41200,4 Rue du Four Ã  Chaux 41200 ROMORANTIN LANTHENAY,605386,6696154,"1,746475","47,358960"
Brigade territoriale autonome de Lambesc,LAMBESC,+33 4 42 57 09 51,+33 4 42 57 17 78,13410,Quartier Bertoire 6 Avenue ClÃ©ment Fauchier 13410 LAMBESC,882452,6285853,"5,261141","43,648207"
Brigade territoriale autonome de Vern-sur-Seiche,VERN SUR SEICHE,+33 2 99 62 90 32,,35770,Lieu-dit Le Patis Fraux 35770 VERN SUR SEICHE,356723,6781647,"-1,609357","48,045005"
Brigade territoriale autonome de Venelles,VENELLES,+33 4 42 54 25 70,,13770,13 Rue de la Bergerie 13770 VENELLES,900854,6281153,"5,487220","43,600958"
Brigade territoriale autonome de Punaauia,PUNAAUIA,+689 50 76 05,+689 50 76 07,98703,"Ãle de Tahiti PK 14,7 - Pointe des PÃªcheurs Ãles-du-Vent 98703 PUNAAUIA",229517,8048931,"-5,036617","59,205105"
Brigade territoriale autonome Ã©lÃ©ment central de Kourou,KOUROU,+33 5 94 32 00 03,+33 5 94 22 01 52,97310,11 Avenue de France 97310 KOUROU,317477,571617,",501251","-2,238572"
Brigade territoriale autonome de l'Isle-d'Abeau,L ISLE D ABEAU,+33 4 74 27 13 32,+33 4 74 27 87 88,38080,18 Rue de Lans 38080 L ISLE D ABEAU,872991,6504636,"5,220167","45,619363"
Brigade territoriale autonome de l'Isle-Adam,L ISLE ADAM,+33 1 34 69 73 30,+33 1 34 69 73 40,95290,32 Grande Rue 95290 L ISLE ADAM,642815,6890548,"2,216779","49,112193"
Brigade territoriale autonome de DumbÃ©a,DUMBEA,+687 44 87 00,,98830,14 Avenue Numa Joubert Koutio 98830 DUMBEA,451260,231478,"1,419326","-4,417520"
Brigade territoriale autonome de Mundolsheim,MUNDOLSHEIM,+33 3 88 19 07 67,+33 3 88 18 47 65,67450,20 Rue du Haldenbourg 67450 MUNDOLSHEIM,1046645,6847573,"7,707185","48,635321"
Brigade territoriale autonome de Geispolsheim,GEISPOLSHEIM,+33 3 88 68 61 62,+33 3 90 29 78 15,67118,2 Rue de SÃ©nÃ© 67118 GEISPOLSHEIM,1043524,6834252,"7,654253","48,517368"
Brigade territoriale autonome de Mouans-Sartoux,MOUANS SARTOUX,+33 4 93 75 27 46,+33 4 92 28 33 29,6370,216 Avenue de Cannes 06370 MOUANS SARTOUX,1020626,6287944,"6,972578","43,617942"
Brigade territoriale autonome de LanÃ§on-Provence,LANCON PROVENCE,+33 4 90 42 92 22,+33 4 90 42 96 28,13680,541 Chemin des PinÃ¨des 13680 LANCON PROVENCE,872589,6279849,"5,136956","43,596676"
Brigade territoriale autonome de Villeneuve-lÃ¨s-Maguelone,VILLENEUVE LES MAGUELONE,+33 4 67 69 52 69,,34750,364 Avenue de la Gare 34750 VILLENEUVE LES MAGUELONE,769441,6271107,"3,858801","43,535637"
Brigade territoriale autonome de Villefontaine,VILLEFONTAINE,+33 4 74 95 60 17,+33 4 74 95 99 58,38090,6 Rue Montgolfier 38090 VILLEFONTAINE,866898,6504333,"5,141903","45,618150"
Brigade territoriale autonome de PacÃ©,PACE,+33 2 99 60 13 14,+33 2 99 60 25 83,35740,21 bis Avenue Charles Le Goffic 35740 PACE,344737,6794180,"-1,780089","48,151176"
Brigade territoriale autonome de QuÃ©rigut,QUERIGUT,+33 4 68 20 40 17,+33 4 68 20 91 33,9460,Route de FormiguÃ¨res 09460 QUERIGUT,627079,6176770,"2,111295","42,686854"
Brigade territoriale autonome de Montsoult,MONTSOULT,+33 1 34 73 53 10,+33 1 34 73 53 15,95560,Rue Parmentier 95560 MONTSOULT,650102,6885529,"2,317173","49,067676"
Brigade territoriale autonome de Velaux,VELAUX,+33 4 42 34 70 80,+33 4 42 34 70 89,13880,1 Avenue Antoinette de Beaucaire 13880 VELAUX,881786,6273081,"5,248386","43,533507"
Brigade territoriale autonome de Noisy-le-Roi,NOISY LE ROI,+33 1 61 06 22 10,+33 1 61 06 22 11,78590,102 Rue AndrÃ© Lebourblanc 78590 NOISY LE ROI,630864,6861239,"2,057898","48,847483"
Brigade territoriale autonome de Bois-de-NÃ¨fles,ST PAUL,+33 2 62 44 29 00,+33 2 62 44 65 50,97460,45 Chemin de la Piscine 97460 ST PAUL,326744,7676639,"-2,908485","56,015077"
Brigade territoriale autonome de Remire-Montjoly,REMIRE MONTJOLY,+33 5 94 38 32 32,+33 5 94 38 21 11,97354,ZAC Moulin-Ã -Vent 97354 REMIRE MONTJOLY,358491,542657,",774346","-2,420478"
Brigade territoriale autonome de Saint-GÃ©ly-du-Fesc,ST GELY DU FESC,+33 4 67 91 73 00,+33 4 67 91 73 09,34980,15 Rue des VerriÃ¨s 34980 ST GELY DU FESC,765182,6287172,"3,808165","43,680581"
Brigade territoriale autonome de Saint-Clair-du-RhÃ´ne,ST CLAIR DU RHONE,+33 4 74 56 37 00,+33 4 74 56 52 25,38370,74 Rue Charles PÃ©guy 38370 ST CLAIR DU RHONE,838504,6483517,"4,771648","45,437101"
Brigade territoriale autonome de Tassin-la-Demi-Lune,TASSIN LA DEMI LUNE,+33 4 78 34 11 11,+33 4 72 38 17 68,69160,31 Avenue du 8 Mai 1945 69160 TASSIN LA DEMI LUNE,837833,6519416,"4,773379","45,760417"
Brigade territoriale autonome de Valbonne,VALBONNE,+33 4 93 65 22 40,+33 4 93 65 22 40,6560,Impasse du GÃ©nÃ©ral Delfosse Sophia-Antipolis 06560 VALBONNE,1026463,6288711,"7,045260","43,622169"
Brigade territoriale autonome de Ballancourt-sur-Essonne,BALLANCOURT SUR ESSONNE,+33 1 64 93 43 01,+33 1 64 93 76 90,91610,30 Rue Jeanne Pinet 91610 BALLANCOURT SUR ESSONNE,654711,6825667,"2,386605","48,529657"
Brigade territoriale autonome de Saint-Just-Saint-Rambert,ST JUST ST RAMBERT,+33 4 77 52 34 77,+33 4 77 52 18 60,42170,250 Route de Saint-Marcellin 42170 ST JUST ST RAMBERT,796090,6489522,"4,230421","45,498424"
Brigade territoriale autonome de Seynod,SEYNOD,+33 4 50 69 13 35,+33 4 50 69 48 58,74600,12 Rue des FrÃªnes 74600 SEYNOD,940045,6536840,"6,096182","45,888873"
Brigade territoriale autonome du Soler,LE SOLER,+33 4 68 92 58 00,+33 4 68 38 24 70,66270,11 Avenue de la RÃ©publique 66270 LE SOLER,681903,6175540,"2,779481","42,679258"
Brigade territoriale autonome de Cestas,CESTAS,+33 5 57 83 83 10,+33 5 57 83 83 18,33610,3 Avenue du 19 Mars 1962 33610 CESTAS,408482,6411611,"-,683900","44,742417"
Brigade territoriale autonome d'Orgeval,ORGEVAL,+33 1 39 08 24 00,,78630,52 Rue de la Gare 78630 ORGEVAL,624727,6869800,"1,972762","48,923777"
Brigade territoriale autonome de Mougins,MOUGINS,+33 4 93 75 50 00,+33 4 92 28 31 73,6250,601 Chemin de Campane 06250 MOUGINS,1022942,6284732,"6,999210","43,588027"
Brigade territoriale autonome Les-Deux-Alpes,MONT DE LANS,+33 4 76 80 58 57,+33 4 76 80 59 68,38860,6 Rue des Sagnes 38860 MONT DE LANS,945996,6439163,"6,123056","45,007910"
Brigade territoriale autonome de Faaa,FAAA,+689 46 72 00,+689 46 72 09,98704,Ãle de Tahiti - Camp de Faa'a Ãles-du-Vent 98704 FAAA,228287,8053638,"-5,065667","59,244958"
Brigade territoriale autonome de Tahaa,TAHAA,+689 60 81 05,+689 60 81 07,98733,Ãle de Taha'a Zone de Patio Ãles-Sous-le Vent 98733 TAHAA,660847,8158698,"2,312520","60,369851"
Brigade territoriale autonome de Scionzier,SCIONZIER,+33 4 50 18 49 90,+33 4 50 18 49 92,74950,130 Rue de la Gendarmerie 74950 SCIONZIER,974074,6556159,"6,545730","46,049802"
Brigade territoriale autonome de Saint-EstÃ¨ve,ST ESTEVE,+33 4 68 92 30 22,+33 4 68 38 30 57,66240,Avenue de Baixas 66240 ST ESTEVE,686740,6180263,"2,838304","42,721827"
Brigade territoriale autonome de Villeneuve-Loubet,VILLENEUVE LOUBET,+33 4 93 20 62 04,+33 4 92 02 54 79,6270,167 AllÃ©e du Professeur RenÃ© Cassin 06270 VILLENEUVE LOUBET,1032938,6292442,"7,127762","43,652682"
Brigade territoriale autonome de M'Zouazia,CHIRONGUI,+269 62 00 48,+269 62 81 37,97620,97620 CHIRONGUI,515529,8568319,"-,561381","63,861514"
Brigade territoriale autonome de Mtsamboro,MTSAMBORO,+269 62 13 13,+269 63 80 32,97630,Place de la Gendarmerie 97630 MTSAMBORO,508612,8596200,"-,720067","64,095715"
Brigade territoriale autonome de Papaichton,PAPAICHTON,+33 5 94 37 30 38,+33 5 94 37 30 37,97316,Place Fromager 97316 PAPAICHTON,161636,445498,"-,479331","-3,100377"
Brigade territoriale autonome d'Apatou,APATOU,+33 5 94 34 91 16,+33 5 94 34 92 46,97317,AllÃ©e du Gendarme Boudet 97317 APATOU,143768,522907,"-,617554","-2,601683"
Brigade territoriale autonome du Bourg-d'Oisans,LE BOURG D OISANS,+33 4 76 80 00 17,+33 4 76 11 12 34,38520,Avenue Aristide Briand 38520 LE BOURG D OISANS,938808,6444286,"6,034390","45,056525"
Brigade territoriale autonome de Seyssinet-Pariset,SEYSSINET PARISET,+33 4 76 21 55 22,+33 4 76 21 99 54,38170,24 Avenue du Vercors 38170 SEYSSINET PARISET,911044,6457152,"5,687461","45,181350"
Brigade territoriale autonome de Breuillet,BREUILLET,+33 1 64 58 55 88,,91650,75 Route de Saint-ChÃ©ron 91650 BREUILLET,638639,6830736,"2,168216","48,573931"
Brigade territoriale autonome de Brignais,BRIGNAIS,+33 4 78 05 18 42,+33 4 78 05 65 49,69530,20 Rue du PresbytÃ¨re 69530 BRIGNAIS,837166,6509681,"4,762006","45,672911"
Brigade territoriale autonome des Baux-de-Provence,LES BAUX DE PROVENCE,+33 4 90 54 34 91,+33 4 90 54 23 39,13520,Route de Saint-RÃ©my 13520 LES BAUX DE PROVENCE,845437,6295688,"4,805377","43,745251"
Brigade territoriale autonome d'Ãguilles,EGUILLES,+33 4 42 92 53 55,,13510,Boulevard LÃ©once Artaud 13510 EGUILLES,890567,6277210,"5,358454","43,568337"
Brigade territoriale autonome de Val-d'IsÃ¨re,VAL D ISERE,+33 4 79 06 03 41,,73150,Les Richardes II Avenue du Prariond 73150 VAL D ISERE,1011029,6491094,"6,980653","45,448712"
Brigade territoriale autonome de Baie-Mahault,BAIE MAHAULT,+33 5 90 41 14 20,+33 5 90 41 14 30,97122,Caserne Beausoleil Blachon 97122 BAIE MAHAULT,649316,1796867,"2,631439","6,285836"
Brigade territoriale autonome de Hao,HAO,+689 93 50 50,+689 93 50 52,98767,Ãle de Hao Zone de Otepa Archipel des Tuamotu 98767 HAO,887100,7714535,"5,988584","56,442868"
Brigade territoriale autonome de Sada,SADA,+269 62 19 22,+269 63 81 61,97640,Route Nationale 97640 SADA,512525,8578653,"-,628456","63,948209"
Brigade territoriale autonome de Fosses,FOSSES,+33 1 34 72 10 20,+33 1 34 72 10 25,95470,41 Avenue de la Haute-GrÃ¨ve 95470 FOSSES,664195,6888930,"2,509733","49,099196"
Brigade territoriale autonome de Rixheim,RIXHEIM,+33 3 89 44 23 44,+33 3 89 63 41 95,68170,2 Rue d'Angleterre 68170 RIXHEIM,1030718,6747677,"7,415601","47,746241"
Brigade territoriale autonome de Folschviller,FOLSCHVILLER,+33 3 87 92 10 17,+33 3 87 00 49 86,57730,13 Impasse Sainte-GeneviÃ¨ve 57730 FOLSCHVILLER,969369,6892120,"6,687794","49,072310"
Brigade territoriale autonome de Tours,TOURS,+33 2 47 31 37 75,+33 2 47 31 37 62,37000,Caserne Raby 171 Avenue de Grammont 37000 TOURS,526009,6700018,",693790","47,377631"
Brigade territoriale autonome de Rangiroa,AVATORU,+689 93 11 55,+689 93 11 57,98775,Atoll de Rangiroa Zone Avatoru Archipel des Tuamotu 98775 AVATORU,0,0,"-1,363081","-5,983857"
Brigade territoriale autonome de Rimatara,RIMATARA,+689 94 42 90,+689 94 42 94,98752,Zone d'Amaru Archipel des Australes 98752 RIMATARA,519876,7495361,",244850","54,501459"
Brigade territoriale autonome de Saint-Martin-de-Belleville,ST MARTIN DE BELLEVILLE,+33 4 79 00 65 46,,73440,Quartier Preyerand Les Menuires 73440 ST MARTIN DE BELLEVILLE,975716,6477501,"6,521591","45,341550"
Brigade territoriale autonome d'Orry-la-Ville,ORRY LA VILLE,+33 3 44 58 34 17,+33 3 44 58 34 19,60560,59 Rue de la Chapelle 60560 ORRY LA VILLE,664864,6892558,"2,518590","49,131852"
Brigade territoriale autonome d'Andernos-les-Bains,ANDERNOS LES BAINS,+33 5 57 76 08 90,+33 5 57 76 08 98,33510,9 Avenue d'ArÃ¨s 33510 ANDERNOS LES BAINS,374961,6414161,"-1,108454","44,750462"
Brigade territoriale autonome de Arue,ARUE,+689 50 73 05,+689 50 73 07,98701,Ãle de Tahiti PK 8 - Taharaa Ãles-du-Vent 98701 ARUE,233024,8059678,"-4,995647","59,301696"
Brigade territoriale autonome d'Ampuis,AMPUIS,+33 4 74 56 10 26,,69420,1 Rue Jean Julien Chapelant 69420 AMPUIS,841307,6489391,"4,809211","45,489408"
Brigade territoriale autonome de Saint-Georges-d'Orques,ST GEORGES D ORQUES,+33 4 67 75 18 99,+33 4 67 75 84 17,34680,5 Avenue de l'Occitanie 34680 ST GEORGES D ORQUES,763369,6278997,"3,784681","43,607191"
Brigade territoriale autonome de Port-Leucate,LEUCATE,+33 4 68 40 04 11,+33 4 68 40 45 37,11370,Avenue de Septimanie 11370 LEUCATE,703324,6195429,"3,040629","42,858311"
Brigade territoriale autonome de Miquelon-Langlade,MIQUELON LANGLADE,+508 41 02 70,+508 41 02 75,97500,5 Rue Antoine Soucy 97500 MIQUELON LANGLADE,547002,5216315,"1,376272","34,105794"
Brigade territoriale autonome de Saint-Pierre,ST PIERRE,+508 41 02 80,+508 41 02 85,97500,Boulevard Constant Colmay 97500 ST PIERRE,563404,5181466,"1,557058","33,801193"
Brigade territoriale autonome de Tuamotu-Centre,PAPEETE,+689 46 74 30,+689 46 74 28,98714,Ãle de Tahiti - Caserne Bruat Avenue Pouvanaa 98714 PAPEETE,227088,8058513,"-5,094540","59,286287"
Brigade territoriale autonome de RikitÃ©a,GAMBIER,+689 97 82 68,+689 97 82 70,98755,Ãle de Mangareva Zone de RikitÃ©a Archipel des Gambier 98755 GAMBIER,0,0,"-1,363081","-5,983857"
Brigade territoriale autonome de Raivavae,RAIVAVAE,+689 95 42 30,+689 95 44 73,98750,Ãle de Raivavae Zone de Rairua Archipel des Australes 98750 RAIVAVAE,432822,7358379,"-,979280","53,248210"
Brigade territoriale autonome de Rurutu,RURUTU,+689 93 02 05,+689 93 02 07,98753,Ãle de Rurutu Zone de Moerai Archipel des Australes 98753 RURUTU,669858,7513174,"2,537173","54,687138"
Brigade territoriale autonome de Tubuai,TUBUAI,+689 93 22 05,+689 93 22 08,98754,Ãle de Tubuai Zone de Mataura Archipel des Australes 98754 TUBUAI,246116,7413276,"-3,819602","53,623240"
Brigade territoriale autonome de Hiva-Oa,ATUONA,+689 91 71 05,+689 91 71 07,98741,Ãle de Hiva-Oa Zone de Atuona Ãles Marquises 98741 ATUONA,721473,8921358,"3,454051","66,867704"
Brigade territoriale autonome de Ua-Pou,UA POU,+689 91 53 05,+689 93 53 08,98745,Ãle de Ua-Pou Zone de Hakahau Ãles Marquises 98745 UA POU,601264,8961254,",890139","67,188553"
Brigade territoriale autonome de Nuku-Hiva,AAKAPA,+689 91 03 05,+689 91 03 07,98742,Ãle de Nuku-Hiva Zone de Taiohae Ãles Marquises 98742 AAKAPA,595777,9011273,",742399","67,601127"
Brigade territoriale autonome de Bora-Bora,BORA BORA,+689 60 59 05,+689 60 59 07,98730,Ãle de Bora-Bora Zone de Vaitape Ãles-Sous-le Vent 98730 BORA BORA,634635,8170853,"1,849210","60,472854"
Brigade territoriale autonome de Huahine,HUAHINE,+689 60 62 05,+689 60 62 07,98731,Ãle de Huahine Zone de FarÃ© Ãles-Sous-le Vent 98731 HUAHINE,711973,8144942,"3,209595","60,251547"
Brigade territoriale autonome de RaÃ¯atea,UTUROA,+689 60 03 05,+689 60 03 07,98735,Ãle de RaÃ¯atea Ãles-Sous-le Vent 98735 UTUROA,664129,8148821,"2,371526","60,284190"
Brigade territoriale autonome de Moorea-Maiao,AFAREAITU,+689 55 25 05,+689 55 25 07,98728,"Ãle de MoorÃ©a - RÃ©sidence Faratea PK 7,8 - Paopao-Maharepa Ãles-du-Vent 98728 AFAREAITU",199019,8058604,"-5,571487","59,261229"
Brigade territoriale autonome de Taravao,HITIAA,+689 54 73 05,+689 54 73 08,98705,Ãle de Tahiti - RT 1 PK 60 - Taravao Ãles-du-Vent 98705 HITIAA,246311,8054750,"-4,761363","59,270399"
Brigade territoriale autonome de Tiarei,HITIAA,+689 54 79 25,+689 54 79 27,98705,"Ãle de Tahiti - RT 2 PK 26,7 - cÃ´tÃ© Montagne Ãles-du-Vent 98705 HITIAA",246311,8054750,"-4,761363","59,270399"
Brigade territoriale autonome de Paea,PAEA,+689 50 75 05,+689 50 75 08,98711,"Ãle de Tahiti - RT 1 PK 20,8 - cÃ´tÃ© Montagne Ãles-du-Vent 98711 PAEA",229630,8042440,"-5,023473","59,148724"
Brigade territoriale autonome de Fayaoue,OUVEA,+687 45 53 10,+687 45 53 12,98814,Ãle OuvÃ©a - Tribu de FayaouÃ© Ãles LoyautÃ© 98814 OUVEA,459363,395483,"1,450355","-3,363026"
Brigade territoriale autonome de Tadine,TADINE,+687 45 53 00,+687 45 53 02,98828,Ãle MarÃ© 98828 TADINE,0,0,"-1,363081","-5,983857"
Brigade territoriale autonome de ChÃ©pÃ©nÃ©he,LIFOU,+687 44 88 00,+687 44 88 05,98820,Tribu de ChÃ©pÃ©nÃ©he Ãles LoyautÃ© 98820 LIFOU,528465,367086,"1,897838","-3,539050"
Brigade territoriale autonome de We,LIFOU,+687 44 87 95,+687 44 87 97,98820,Ãle Lifou Route Territoriale 2 Ãles LoyautÃ© 98820 LIFOU,528465,367086,"1,897838","-3,539050"
Brigade territoriale autonome de Touho,TOUHO,+687 47 89 75,+687 47 89 78,98831,Village Route Provinciale 10 98831 TOUHO,310873,375357,",498737","-3,517713"
Brigade territoriale autonome de PouÃ©bo,POUEBO,+687 47 89 65,+687 47 89 68,98824,Village 98824 POUEBO,253293,417719,",118995","-3,256512"
Brigade territoriale autonome de PonÃ©rihouen,PONERIHOUEN,+687 47 89 35,+687 47 89 38,98823,Village 98823 PONERIHOUEN,331101,341223,",635249","-3,733694"
Brigade territoriale autonome de HouaÃ¯lou,HOUAILOU,+687 42 51 17,,98816,Village Lotissement 14 98816 HOUAILOU,354409,306889,",790735","-3,949997"
Brigade territoriale autonome de HienghÃ¨ne,HIENGHENE,+687 47 89 80,+687 47 89 84,98815,Village Route Provinciale 3 98815 HIENGHENE,278691,387863,",289272","-3,443816"
Brigade territoriale autonome de PoindimiÃ©,POINDIMIE,+687 47 89 00,+687 47 89 13,98822,Village 68 Voie Urbaine 13 98822 POINDIMIE,316037,358873,",535215","-3,622986"
Brigade territoriale autonome de Voh,VOH,+687 35 57 17,,98833,Village 98833 VOH,263401,359477,",197456","-3,630412"
Brigade territoriale autonome de Poya,POYA,+687 47 17 17,,98827,Village 27 Route Territoriale 1 98827 POYA,313675,315739,",528725","-3,900942"
Brigade territoriale autonome de Poum,POUM,+687 47 89 30,,98826,Lotissement Municipal 98826 POUM,209468,432912,"-,167290","-3,168944"
