nom_contextuel_unite;localite_unite;num_tph_fixe_unite;num_fax_unite;adresse_code_postal;dept;adresse_geographique_unite;mail_rattachement_unite;wgs84
Brigade territoriale autonome de Chelles;CHELLES;+33 1 60 20 73 15;+33 1 60 20 89 33;77500;77;17 Avenue du gendarme Castermant 77500 CHELLES;bta.chelles@gendarmerie.interieur.gouv.fr;48.8781939, 2.6004263
Brigade de proximité de Donnemarie-Dontilly;DONNEMARIE DONTILLY;+33 1 60 58 20 00;+33 1 60 58 20 09;77520;77;16 Avenue du Ralloy 77520 DONNEMARIE DONTILLY;cob.donnemarie-dontilly@gendarmerie.interieur.gouv.fr;48.4744909, 3.1332367
Brigade territoriale autonome de Lorrez-le-Bocage-Préaux;LORREZ LE BOCAGE PREAUX;+33 1 64 31 63 80;;77710;77;1 Avenue du Bocage 77710 LORREZ LE BOCAGE PREAUX;bta.lorrez-le-bocage-preaux@gendarmerie.interieur.gouv.fr;48.2530005, 2.8306295
Brigade territoriale autonome de Versailles;VERSAILLES;+33 1 39 67 50 00;;78000;78;12 Rue Benjamin Franklin 78000 VERSAILLES;bta.versailles@gendarmerie.interieur.gouv.fr;48.7983919, 2.1364398
Brigade territoriale autonome de Bonnières-sur-Seine;BONNIERES SUR SEINE;+33 1 30 98 58 60;+33 1 30 98 58 61;78270;78;1 Rue du Val-Guyon 78270 BONNIERES SUR SEINE;bta.bonnieres-sur-seine@gendarmerie.interieur.gouv.fr;49.0377973, 1.5874732
Brigade territoriale autonome de Montfort-l'Amaury;MONTFORT L AMAURY;+33 1 34 57 04 80;+33 1 34 57 04 81;78490;78;70 Rue de Paris 78490 MONTFORT L AMAURY;bta.montfort-l-amaury@gendarmerie.interieur.gouv.fr;48.7796689, 1.8105465
Brigade territoriale autonome de Noisy-le-Roi;NOISY LE ROI;+33 1 61 06 22 10;+33 1 61 06 22 11;78590;78;102 Rue André Lebourblanc 78590 NOISY LE ROI;bta.noisy-le-roi@gendarmerie.interieur.gouv.fr;48.843815, 2.064579
Brigade de proximité de Guerville;GUERVILLE;+33 1 30 42 39 58;+33 1 30 42 39 59;78930;78;1 Impasse des Bayeuvilles 78930 GUERVILLE;cob.septeuil@gendarmerie.interieur.gouv.fr;48.9409087, 1.7380779
Brigade territoriale autonome de Palaiseau;PALAISEAU;+33 1 60 14 00 34;;91120;91;2 Rue Gutenberg 91120 PALAISEAU;bta.palaiseau@gendarmerie.interieur.gouv.fr;48.710969, 2.2466948
Brigade territoriale autonome de Dourdan;DOURDAN;+33 1 64 59 70 73;;91410;91;1 Rue de la Gironde 91410 DOURDAN;bta.dourdan@gendarmerie.interieur.gouv.fr;48.5290577, 2.0011372
Brigade territoriale autonome d'Égly;EGLY;+33 1 64 90 00 64;;91520;91;9 Allée des Joncs 91520 EGLY;bta.egly@gendarmerie.interieur.gouv.fr;48.58285, 2.2233269
Brigade territoriale autonome de Mennecy;MENNECY;+33 1 64 57 22 22;+33 1 64 57 37 97;91540;91;Avenue de Villeroy 91540 MENNECY;bta.mennecy@gendarmerie.interieur.gouv.fr;48.5649864, 2.4279485
Brigade territoriale autonome de Breuillet;BREUILLET;+33 1 64 58 55 88;;91650;91;75 Route de Saint-Chéron 91650 BREUILLET;bta.breuillet@gendarmerie.interieur.gouv.fr;48.5742181, 2.1690271
Brigade territoriale autonome de Créteil;CRETEIL;+33 1 49 80 27 00;+33 1 49 80 68 13;94000;94;16 Avenue du Chemin-de-Mesly 94000 CRETEIL;bta.creteil@gendarmerie.interieur.gouv.fr;48.7860089, 2.4603666
Brigade territoriale autonome de Luzarches;LUZARCHES;+33 1 34 71 00 36;+33 1 34 71 29 00;95270;95;37 Rue Charles de Gaulle 95270 LUZARCHES;bta.luzarches@gendarmerie.interieur.gouv.fr;49.1101198, 2.4221767
Brigade territoriale autonome de Jouy-le-Moutier;JOUY LE MOUTIER;+33 1 34 46 30 30;+33 1 34 46 30 37;95280;95;23 Rue des Valanchards 95280 JOUY LE MOUTIER;bta.jouy-le-moutier@gendarmerie.interieur.gouv.fr;49.018923, 2.0288955
Brigade territoriale autonome d'Écouen;ECOUEN;+33 1 34 29 47 80;+33 1 34 29 47 85;95440;95;79 Rue du Maréchal Leclerc 95440 ECOUEN;bta.ecouen@gendarmerie.interieur.gouv.fr;49.0227233, 2.3849604
Brigade territoriale autonome de Melun;MELUN;+33 1 64 71 71 00;;77000;77;3 Rue André Malraux 77000 MELUN;bta.melun@gendarmerie.interieur.gouv.fr;48.5509498, 2.6664044
Brigade territoriale autonome de Mortcerf;MORTCERF;+33 1 64 04 30 24;;77163;77;133 Rue du 27 Août 1944 77163 MORTCERF;bta.mortcerf@gendarmerie.interieur.gouv.fr;48.7949, 2.919072
Brigade territoriale autonome de Fontainebleau;FONTAINEBLEAU;+33 1 64 22 24 88;+33 1 64 22 75 27;77300;77;27 Rue des Bois 77300 FONTAINEBLEAU;bta.fontainebleau@gendarmerie.interieur.gouv.fr;48.4098103, 2.6999683
Brigade territoriale autonome d'Esbly;ESBLY;+33 1 60 04 20 43;+33 1 60 04 62 70;77450;77;1 Rue Jean Le Beau 77450 ESBLY;bta.esbly@gendarmerie.interieur.gouv.fr;48.8980296, 2.8101724
Brigade de proximité de Château-Landon;CHATEAU LANDON;+33 1 64 29 30 09;+33 1 64 29 47 74;77570;77;5 Rue André Gauquelin 77570 CHATEAU LANDON;cob.chateau-landon@gendarmerie.interieur.gouv.fr;48.1467565, 2.6947402
Brigade territoriale autonome du Châtelet-en-Brie;LE CHATELET EN BRIE;+33 1 60 69 40 16;;77820;77;1 Rue du 26 Août 1944 77820 LE CHATELET EN BRIE;bta.le-chatelet-en-brie@gendarmerie.interieur.gouv.fr;48.5063993, 2.7902373
Brigade territoriale autonome de Cély;CELY;+33 1 64 81 90 85;+33 1 64 81 90 91;77930;77;9 Rue Edouard Goerg 77930 CELY;bta.cely@gendarmerie.interieur.gouv.fr;48.4584769, 2.5279486
Brigade territoriale autonome de Rambouillet;RAMBOUILLET;+33 1 61 08 61 50;+33 1 61 08 61 67;78120;78;1 Rue Louis Pasteur 78120 RAMBOUILLET;bta.rambouillet@gendarmerie.interieur.gouv.fr;48.6484306, 1.8237904
Brigade territoriale autonome de Houdan-Maulette;MAULETTE;+33 1 30 46 93 20;+33 1 30 46 93 21;78550;78;41 Avenue Gérard Annel 78550 MAULETTE;bta.houdan-maulette@gendarmerie.interieur.gouv.fr;48.7924927, 1.6231494
Brigade territoriale autonome de Saint-Arnoult-en-Yvelines;ST ARNOULT EN YVELINES;+33 1 61 08 32 30;+33 1 61 08 32 31;78730;78;20 Rue Jean Moulin 78730 ST ARNOULT EN YVELINES;bta.st-arnoult-en-yvelines@gendarmerie.interieur.gouv.fr;48.5700861, 1.9309153
Brigade de proximité de Septeuil;SEPTEUIL;+33 1 34 97 28 70;+33 1 34 97 28 71;78790;78;106 Route de Saint-Corentin 78790 SEPTEUIL;cob.septeuil@gendarmerie.interieur.gouv.fr;48.8917386, 1.6867401
Brigade territoriale autonome d'Évry;EVRY;+33 1 60 79 65 00;;91000;91;11 Rue Jean Malézieux 91000 EVRY;bta.evry@gendarmerie.interieur.gouv.fr;48.6179895, 2.4420531
Brigade de proximité de Saint-Pierre-du-Perray;ST PIERRE DU PERRAY;+33 1 60 75 22 22;+33 1 60 75 66 71;91280;91;Chemin de Brie 91280 ST PIERRE DU PERRAY;cob.st-pierre-du-perray@gendarmerie.interieur.gouv.fr;48.61674, 2.4952572
Brigade territoriale autonome de Milly-la-Forêt;MILLY LA FORET;+33 1 64 98 80 27;+33 1 64 98 26 85;91490;91;30 Avenue du Général Leclerc 91490 MILLY LA FORET;bta.milly-la-foret@gendarmerie.interieur.gouv.fr;48.402282, 2.4779975
Brigade territoriale autonome de Nozay;NOZAY;+33 1 69 63 25 00;+33 1 69 63 25 18;91620;91;1 Rue Louis Renard 91620 NOZAY;bta.nozay@gendarmerie.interieur.gouv.fr;48.660155, 2.242762
Brigade territoriale autonome de Fleury-Mérogis;FLEURY MEROGIS;+33 1 60 15 72 05;;91700;91;1 Avenue des Peupliers 91700 FLEURY MEROGIS;bta.fleury-merogis@gendarmerie.interieur.gouv.fr;48.6427095, 2.3646696
Brigade territoriale autonome de Nanterre;NANTERRE;+33 1 40 97 44 44;;92000;92;18 Boulevard Jules Hardouin-Mansart 92000 NANTERRE;bta.nanterre@gendarmerie.interieur.gouv.fr;48.892423, 2.215331
Brigade territoriale autonome de Montmorency;MONTMORENCY;+33 1 39 64 14 32;+33 1 39 64 88 82;95160;95;2 Rue des Gallerands 95160 MONTMORENCY;bta.montmorency@gendarmerie.interieur.gouv.fr;48.9905447, 2.326365
Brigade territoriale autonome de Magny-en-Vexin;MAGNY EN VEXIN;+33 1 34 46 88 88;+33 1 34 46 88 75;95420;95;26 Rue de Crosne 95420 MAGNY EN VEXIN;bta.magny-en-vexin@gendarmerie.interieur.gouv.fr;49.1510204, 1.7876596
Brigade territoriale autonome de Méry-sur-Oise;MERY SUR OISE;+33 1 30 36 06 00;+33 1 30 36 25 02;95540;95;4 Avenue Marcel Perrin 95540 MERY SUR OISE;bta.mery-sur-oise@gendarmerie.interieur.gouv.fr;49.0588987, 2.1884807
Brigade territoriale autonome de Roissy-en-France;ROISSY EN FRANCE;+33 1 30 11 61 80;+33 1 30 11 61 87;95700;95;3 Chemin de la Vallée 95700 ROISSY EN FRANCE;bta.roissy-en-france@gendarmerie.interieur.gouv.fr;49.0025831, 2.5081296
Brigade territoriale autonome de Meaux;MEAUX;+33 1 64 34 08 90;;77100;77;3 Rue de Noëfort 77100 MEAUX;bta.meaux@gendarmerie.interieur.gouv.fr;48.9576837, 2.8921968
Brigade territoriale autonome de Saint-Soupplets;ST SOUPPLETS;+33 1 60 01 50 07;;77165;77;14 Rue du Point-du-Jour 77165 ST SOUPPLETS;bta.st-soupplets@gendarmerie.interieur.gouv.fr;49.0421188, 2.8082182
Brigade de proximité de la Ferté-Gaucher;LA FERTE GAUCHER;+33 1 64 04 00 09;+33 1 64 04 67 03;77320;77;21 Rue du Docteur Cochot 77320 LA FERTE GAUCHER;cob.la-ferte-gaucher@gendarmerie.interieur.gouv.fr;48.7826602, 3.3035073
Brigade de proximité de Bray-sur-Seine;BRAY SUR SEINE;+33 1 60 67 10 15;+33 1 60 67 07 54;77480;77;299 Rue Danton 77480 BRAY SUR SEINE;cob.donnemarie-dontilly@gendarmerie.interieur.gouv.fr;48.4118206, 3.2355762
Brigade de proximité de Rebais;REBAIS;+33 1 64 04 50 15;;77510;77;15 Avenue de la République 77510 REBAIS;cob.la-ferte-gaucher@gendarmerie.interieur.gouv.fr;48.8436703, 3.2349464
Brigade territoriale autonome de Crécy-la-Chapelle;CRECY LA CHAPELLE;+33 1 64 63 80 42;+33 1 64 63 62 99;77580;77;37 Rue des Bouleurs 77580 CRECY LA CHAPELLE;bta.crecy-la-chapelle@gendarmerie.interieur.gouv.fr;48.8637622, 2.9031699
Brigade de proximité de Jouy-le-Châtel;JOUY LE CHATEL;+33 1 64 01 54 11;;77970;77;42 Rue de Provins 77970 JOUY LE CHATEL;cob.provins@gendarmerie.interieur.gouv.fr;48.6647533, 3.1329164
Brigade de proximité de Mantes-la-Jolie;MANTES LA JOLIE;+33 1 34 00 18 00;+33 1 34 00 18 18;78200;78;131 Boulevard du Maréchal Juin 78200 MANTES LA JOLIE;cob.mantes-la-jolie@gendarmerie.interieur.gouv.fr;48.9927416, 1.7016087
Brigade territoriale autonome de Maule;MAULE;+33 1 30 90 80 28;+33 1 30 90 48 06;78580;78;35 Boulevard Paul Barré 78580 MAULE;bta.maule@gendarmerie.interieur.gouv.fr;48.9099413, 1.8550262
Brigade territoriale autonome de Jouars-Pontchartrain;JOUARS PONTCHARTRAIN;+33 1 34 91 76 80;;78760;78;37 Route du Pontel 78760 JOUARS PONTCHARTRAIN;bta.jouars-pontchartrain@gendarmerie.interieur.gouv.fr;48.8047307, 1.8947142
Brigade territoriale autonome d'Ecquevilly;ECQUEVILLY;+33 1 34 75 50 04;+33 1 34 75 03 50;78920;78;21 Rue du Bel-Air 78920 ECQUEVILLY;bta.ecquevilly@gendarmerie.interieur.gouv.fr;48.9527988, 1.9186191
Brigade territoriale autonome de Bondoufle;BONDOUFLE;+33 1 60 79 72 00;+33 1 60 79 72 29;91070;91;Route Départementale 194 91070 BONDOUFLE;bta.bondoufle@gendarmerie.interieur.gouv.fr;48.612707, 2.376663
Brigade territoriale autonome d'Orsay;ORSAY;+33 1 60 19 32 32;+33 1 60 19 74 99;91400;91;Rue Nicolas Appert 91400 ORSAY;bta.orsay@gendarmerie.interieur.gouv.fr;48.7107288, 2.1764084
Brigade territoriale autonome de Lardy;LARDY;+33 1 60 82 60 03;+33 1 60 82 86 60;91510;91;36 Rue de la Roche-qui-Tourne 91510 LARDY;bta.lardy@gendarmerie.interieur.gouv.fr;48.5189914, 2.2518112
Brigade territoriale autonome de Saint-Chéron;ST CHERON;+33 1 64 56 60 34;+33 1 64 56 71 10;91530;91;6 Impasse Vauvilliers 91530 ST CHERON;bta.st-cheron@gendarmerie.interieur.gouv.fr;48.5515223, 2.1230841
Brigade territoriale autonome de Marolles-en-Hurepoix;MAROLLES EN HUREPOIX;+33 1 64 56 18 03;;91630;91;Rue du Potager 91630 MAROLLES EN HUREPOIX;bta.marolles-en-hurepoix@gendarmerie.interieur.gouv.fr;48.5640424, 2.3080947
Brigade territoriale autonome de Bobigny;BOBIGNY;+33 1 48 96 30 30;+33 1 48 96 30 48;93000;93;118 Rue de la Folie 93000 BOBIGNY;bta.bobigny@gendarmerie.interieur.gouv.fr;48.9001771, 2.442616
Brigade de proximité de Beaumont-sur-Oise;BEAUMONT SUR OISE;+33 1 30 28 34 34;+33 1 30 28 34 24;95260;95;7 Avenue de la Division Leclerc 95260 BEAUMONT SUR OISE;cob.viarmes@gendarmerie.interieur.gouv.fr;49.1346297, 2.2821886
Brigade territoriale autonome d'Auvers-sur-Oise;AUVERS SUR OISE;+33 1 30 36 70 17;;95430;95;31 Rue François Mitterrand 95430 AUVERS SUR OISE;bta.auvers-sur-oise@gendarmerie.interieur.gouv.fr;49.0753797, 2.1621832
Brigade territoriale autonome de Montsoult;MONTSOULT;+33 1 34 73 53 10;+33 1 34 73 53 15;95560;95;Rue Parmentier 95560 MONTSOULT;bta.montsoult@gendarmerie.interieur.gouv.fr;49.0676513, 2.316941
Brigade territoriale autonome de Courdimanche;COURDIMANCHE;+33 1 34 46 30 71;+33 1 34 46 30 76;95800;95;1 Rue Vielle-Saint-Martin 95800 COURDIMANCHE;bta.courdimanche@gendarmerie.interieur.gouv.fr;49.0350903, 2.0006799
